O_ORDERKEY | O_CUSTKEY | O_ORDERSTATUS | O_TOTALPRICE | O_ORDERDATE | O_ORDERPRIORITY | O_CLERK | O_SHIPPRIORITY | O_COMMENT
12230|214|O|155802.17|1998-04-05|2-HIGH|Clerk#000000383|0|s. regular foxes breach regularly pending theodo
12231|307|O|205166.00|1997-07-30|4-NOT SPECIFIED|Clerk#000000012|0|sual sauternes use across the bold theodolites. req
12256|160|F|141726.42|1992-12-19|3-MEDIUM|Clerk#000000238|0|iously alongside of the 
12257|46|O|126768.59|1996-04-17|2-HIGH|Clerk#000000278|0|y above the unusual foxes. slyly even accounts haggl
12258|422|F|243942.56|1994-12-01|5-LOW|Clerk#000000878|0|ing foxes boost. stealthy
12259|76|F|148015.79|1993-02-15|2-HIGH|Clerk#000000282|0| boost about the carefully ironic ideas. fluffily iron
12260|149|F|149332.88|1992-11-26|3-MEDIUM|Clerk#000000484|0|s along the slyly ruthless pinto beans haggle about the 
12261|338|F|276267.86|1993-10-24|5-LOW|Clerk#000000279|0|ccounts use quickly about the furiously bold foxes. furiously final 
12262|433|O|106631.04|1995-12-11|5-LOW|Clerk#000000886|0|efully. slyly final theodolit
12263|166|O|114632.09|1995-07-07|2-HIGH|Clerk#000000566|0|ts sleep across the carefully bold instruc
12288|346|O|120705.06|1996-11-06|1-URGENT|Clerk#000000183|0|slyly regular deposits above the foxes are at the packages-
12289|127|O|105546.13|1995-12-25|5-LOW|Clerk#000000269|0| even deposits. ironic, regular deposits haggle blith
12290|391|O|96170.57|1995-07-10|3-MEDIUM|Clerk#000000947|0|ully pending instructions boost slyly furiously 
12291|223|O|19580.27|1998-03-23|1-URGENT|Clerk#000000074|0|al deposits. warhorses inte
12292|223|F|149196.51|1992-06-03|4-NOT SPECIFIED|Clerk#000000375|0|sometimes final foxes after the qui
12293|100|O|117291.10|1995-06-19|2-HIGH|Clerk#000000103|0| quietly ironic instructions sleep carefully furiously iro
12294|235|O|169188.27|1995-07-06|5-LOW|Clerk#000000583|0|ns run about the qui
12295|265|F|59471.60|1993-11-10|5-LOW|Clerk#000000955|0|ost around the slowly iron
12320|91|O|108398.81|1995-12-21|1-URGENT|Clerk#000000356|0|o beans wake carefully theodolites. final gifts haggle quickly 
12321|25|F|15966.97|1994-04-04|3-MEDIUM|Clerk#000000705|0|uriously ironic deposits cajole furiously doggedly ironic depend
12322|257|P|42193.17|1995-05-12|1-URGENT|Clerk#000000760|0| the special instructions detect fluffily ac
12323|278|P|101833.22|1995-04-03|4-NOT SPECIFIED|Clerk#000000019|0|ts detect above the even dep
12324|310|O|181432.63|1998-08-02|3-MEDIUM|Clerk#000000746|0|ending theodolites try to thrash. regular deposits about the fluffily pending
12325|292|F|50036.25|1995-01-05|1-URGENT|Clerk#000000440|0|packages are final p
12326|152|F|141176.43|1995-02-03|1-URGENT|Clerk#000000765|0|ccounts are fluffily carefu
12327|50|O|34464.03|1998-04-23|4-NOT SPECIFIED|Clerk#000000969|0|tions haggle carefully slyly
12352|440|F|268411.10|1992-03-24|3-MEDIUM|Clerk#000000997|0|eas. regular instructions need to boost slyly re
12353|179|O|194277.11|1996-04-13|4-NOT SPECIFIED|Clerk#000000312|0|ependencies. special dependencies nag quickly even packages. slyly final de
12354|373|O|48010.72|1997-01-21|5-LOW|Clerk#000000859|0|g to the carefully pending excuses cajole
12355|55|P|243289.55|1995-05-29|4-NOT SPECIFIED|Clerk#000000081|0|arhorses. close, final foxes are slyly
12356|197|F|117735.18|1992-10-19|1-URGENT|Clerk#000000540|0|ges haggle quickly! blithely careful courts impress alongside of the bold fox
12357|47|O|94534.77|1995-08-23|2-HIGH|Clerk#000000169|0|instructions poach furiously final requests. quickly express depo
12358|265|O|181227.62|1996-10-10|2-HIGH|Clerk#000000335|0| blithely pending ideas. quickly ironic pinto b
12359|421|O|187051.91|1997-05-29|4-NOT SPECIFIED|Clerk#000000382|0| express packages grow above the blithely even foxes:
12384|352|O|177771.47|1998-08-02|3-MEDIUM|Clerk#000000311|0|gle. furiously unus
12385|247|F|81925.47|1992-11-24|5-LOW|Clerk#000000324|0|sts use furiously. ironi
12386|127|F|249208.28|1992-03-21|3-MEDIUM|Clerk#000000709|0|e fluffily ironic dolphins. quick
12387|193|O|56984.05|1997-07-03|2-HIGH|Clerk#000000051|0|o the quickly regular requests use slyly unusual theodolites.
12388|286|O|296967.38|1997-10-16|4-NOT SPECIFIED|Clerk#000000611|0|boost furiously furiously final accounts. slyly regular deposits are am
12389|196|F|190927.18|1994-08-05|3-MEDIUM|Clerk#000000139|0|s boost according to the slyly even dolphins. final depend
12390|386|O|44640.16|1996-06-24|3-MEDIUM|Clerk#000000421|0|posits doze blithely. fluffily ironic d
12391|301|O|71915.50|1998-07-01|5-LOW|Clerk#000000433|0|cies are blithely. furious
12416|346|F|7152.00|1993-06-26|1-URGENT|Clerk#000000400|0|ow ideas cajole furiou
12417|325|F|203254.56|1993-10-25|1-URGENT|Clerk#000000152|0|requests. furiously express instructions haggle. e
12418|391|F|120422.59|1992-02-19|4-NOT SPECIFIED|Clerk#000000547|0|tructions. foxes nag furiously abo
12419|295|O|217438.69|1995-10-16|1-URGENT|Clerk#000000104|0|y. furiously final sauternes sleep slyly above the pending 
12420|448|F|133996.61|1993-12-27|3-MEDIUM|Clerk#000000798|0|ackages cajole permanently. blithely quick packages alongs
12421|202|O|203201.11|1995-11-02|1-URGENT|Clerk#000000203|0|pending theodolites wake: ironic, express platelets cajole furiously.
12422|173|P|197512.68|1995-05-22|3-MEDIUM|Clerk#000000349|0|ssly pending requests cajole quietly final i
12423|296|F|76632.00|1992-07-18|1-URGENT|Clerk#000000742|0|nic courts haggle carefully finally regular requests. depo
12448|154|O|148942.85|1995-11-09|1-URGENT|Clerk#000000711|0|he quickly pending accounts. ironic 
12449|139|F|122647.86|1993-02-01|3-MEDIUM|Clerk#000000312|0|s hinder carefully across the iro
12450|397|F|51559.95|1994-03-13|4-NOT SPECIFIED|Clerk#000000550|0|kages use quickly final accounts. carefully regular packages integrate blithe
12451|346|F|252899.11|1993-04-20|5-LOW|Clerk#000000319|0|uriously even ideas hagg
12452|109|F|137638.44|1993-12-08|3-MEDIUM|Clerk#000000867|0|indle furiously near the quickly regular accounts: silent,
12453|364|F|170341.50|1994-01-14|5-LOW|Clerk#000000085|0|ic ideas promise. slyly ironic pinto beans above the dinos wake quickly bold
12454|65|O|49607.88|1997-03-21|1-URGENT|Clerk#000000910|0|ic, regular deposits are against the carefully unusual accounts. e
12455|88|F|151379.26|1992-09-04|4-NOT SPECIFIED|Clerk#000000594|0|nusual asymptotes. regular ideas haggle blithely across the ironic ideas. 
12480|97|F|85604.47|1994-07-08|3-MEDIUM|Clerk#000000055|0|ructions wake fluffily fluffily final gifts! furiou
12481|82|O|84142.07|1995-07-11|1-URGENT|Clerk#000000785|0|uests sleep furiously bold deposits. blithely express acc
12482|301|O|162851.65|1996-01-08|5-LOW|Clerk#000000311|0|y express dependencies along the f
12483|38|F|121047.22|1993-08-05|1-URGENT|Clerk#000000652|0|cial ideas sleep furiously against the final, regular re
12484|308|O|161960.17|1995-08-22|3-MEDIUM|Clerk#000000268|0|olphins. blithely ironic platelets s
12485|58|F|224059.84|1993-08-08|1-URGENT|Clerk#000000994|0|tions along the ideas 
12486|386|P|172628.79|1995-02-21|2-HIGH|Clerk#000000206|0| deposits; quickly ironic packages use stealthily about the qui
12487|121|F|44935.31|1994-11-30|2-HIGH|Clerk#000000575|0|xes. requests sleep carefully
12512|421|O|105703.94|1996-04-02|2-HIGH|Clerk#000000813|0|nal foxes are fluffily. foxes snooze about the ironi
12513|127|O|52133.53|1997-09-03|5-LOW|Clerk#000000422|0| wake final, special requests. express instructions cajole after the furi
12514|448|F|36113.50|1994-04-25|2-HIGH|Clerk#000000120|0|c courts doubt express, bo
12515|439|F|108686.98|1993-05-14|3-MEDIUM|Clerk#000000624|0|kly special accounts. blithely regular packages boost slyly packages. pl
12516|412|F|95530.29|1994-05-25|5-LOW|Clerk#000000087|0|y after the quickly unusual gifts. fluffily exp
12517|391|O|64267.48|1997-02-01|5-LOW|Clerk#000000162|0|packages. express packages impress furiously even, bold theodolite
12518|325|F|130860.39|1993-07-23|5-LOW|Clerk#000000194|0|ultipliers serve furiously a
12519|274|F|156518.60|1994-01-01|2-HIGH|Clerk#000000387|0|ependencies. carefully unusual deposits use finally ironic deposits. e
12544|133|F|64200.74|1994-03-04|5-LOW|Clerk#000000600|0|thely above the even 
12545|53|O|82516.12|1996-07-01|1-URGENT|Clerk#000000472|0|ly. carefully silent excuses use carefully around the reg
12546|65|O|75090.81|1996-02-08|4-NOT SPECIFIED|Clerk#000000547|0|ounts mold. blithely stealthy depths haggle blithely blithe
12547|343|O|171489.41|1998-04-14|2-HIGH|Clerk#000000729|0|odolites? blithely ir
12548|44|O|186529.17|1997-11-20|4-NOT SPECIFIED|Clerk#000000517|0|s excuses x-ray against
12549|10|O|93128.99|1997-06-03|1-URGENT|Clerk#000000845|0|he furiously regular pint
12550|265|F|45875.58|1993-03-09|4-NOT SPECIFIED|Clerk#000000282|0|as. blithely ironic pinto beans wake. slyly bold deposits detect blithely alon
12551|238|F|147327.19|1992-06-12|5-LOW|Clerk#000000090|0| slyly alongside of the special waters. asymptotes outside the pend
12576|317|F|36210.29|1993-01-26|4-NOT SPECIFIED|Clerk#000000762|0|n decoys behind the carefully final requests
12577|185|O|127692.72|1998-05-18|4-NOT SPECIFIED|Clerk#000000586|0|special instruction
12578|364|O|215028.26|1996-11-15|2-HIGH|Clerk#000000150|0|p slyly furious foxes. slyly pending a
12579|58|O|38809.65|1995-06-17|4-NOT SPECIFIED|Clerk#000000536|0|y silent pinto beans-- ironic deposits affix. furiously fina
12580|178|F|41003.80|1993-01-14|5-LOW|Clerk#000000373|0|y bold theodolites above the carefully regular 
12581|247|F|115415.22|1994-10-21|2-HIGH|Clerk#000000582|0| final requests after the final patterns wake blithel
12582|163|F|28493.97|1993-01-22|4-NOT SPECIFIED|Clerk#000000671|0| ironic packages against the requests slee
12583|283|O|30753.64|1996-01-18|5-LOW|Clerk#000000676|0|yly fluffily even accounts. quickly careful asymptotes boost. ironic, bo
12608|91|F|58800.17|1993-03-08|1-URGENT|Clerk#000000087|0| have to nag quietly among the carefully bold pinto beans. expres
12609|242|O|93299.11|1996-01-17|3-MEDIUM|Clerk#000000207|0|l requests haggle furiously
12610|26|F|8417.82|1993-07-17|5-LOW|Clerk#000000952|0| bold theodolites engage blithely against th
12611|13|O|166098.54|1995-10-16|3-MEDIUM|Clerk#000000579|0|ckly carefully regular deposits
12612|433|F|178067.15|1993-12-22|5-LOW|Clerk#000000381|0| accounts. furiously ironic requests along the final, ruthless accounts cajol
12613|100|F|90388.40|1993-04-11|3-MEDIUM|Clerk#000000550|0|lithely express ins
12614|202|O|226407.69|1996-02-28|3-MEDIUM|Clerk#000000387|0|wake. quickly stealthy foxes affix slyly ironic requests. 
12615|35|F|21105.81|1995-03-06|4-NOT SPECIFIED|Clerk#000000993|0|old packages. accounts use slyly after the foxes. 
12640|124|O|73892.14|1998-07-20|2-HIGH|Clerk#000000081|0|ites. slyly express deposits integrate fluffily. ironic courts abo
12641|329|F|183283.20|1995-02-23|5-LOW|Clerk#000000617|0|its wake according to the slyly unusual excuses. even patterns are carefully 
12642|373|F|231573.17|1994-04-28|1-URGENT|Clerk#000000015|0|symptotes thrash blithely above the furiously regular accounts. q
12643|97|F|111273.37|1993-03-20|5-LOW|Clerk#000000486|0| slyly silent requests. qui
12644|349|F|132097.15|1992-02-01|2-HIGH|Clerk#000000394|0| the final instructions. blithely ironic asymptotes boost carefully regular 
12645|76|F|217519.10|1994-07-07|5-LOW|Clerk#000000705|0|de of the blithely regular accounts use slyly final accounts. fluff
12646|400|F|128649.56|1993-02-18|1-URGENT|Clerk#000000155|0|regular ideas. slyly ironic re
12647|359|O|31559.46|1997-02-27|4-NOT SPECIFIED|Clerk#000000190|0|. regular theodolites sleep after the care
12672|79|F|29562.81|1994-07-07|4-NOT SPECIFIED|Clerk#000000963|0|es are carefully blithely unusual dugouts. regular, i
12673|19|F|23238.58|1994-06-12|1-URGENT|Clerk#000000435|0|ffily. express accounts sleep slyly regular deposit
12674|176|F|98726.68|1992-07-05|5-LOW|Clerk#000000811|0|xcuses. express deposits wake quickl
12675|205|F|139084.11|1994-01-28|3-MEDIUM|Clerk#000000921|0|r theodolites. furiously pending gifts alongside
12676|253|F|6277.79|1994-01-16|2-HIGH|Clerk#000000960|0|ake slyly special deposits. slyly un
12677|58|O|192169.51|1996-05-25|5-LOW|Clerk#000000500|0|ely above the furiously silent accounts; carefully regular depend
12678|253|O|67595.14|1998-01-26|5-LOW|Clerk#000000395|0|around the blithely slow packages nag quickly express packages. carefully
12679|335|O|70100.72|1997-06-22|2-HIGH|Clerk#000000326|0|s. furiously pending deposits sleep furiously a
12704|133|F|129015.37|1993-02-10|5-LOW|Clerk#000000553|0|ackages sleep. pinto beans haggle furiously. quickly final dolphins use blit
12705|89|F|76159.72|1994-09-16|5-LOW|Clerk#000000983|0|grow above the fluffily final packages. slyly pending ideas nag furiou
12706|139|F|136489.70|1994-11-21|1-URGENT|Clerk#000000997|0|ing instructions. deposits cajole. slyly sp
12707|367|F|213690.97|1993-05-30|2-HIGH|Clerk#000000820|0|ffix furiously according to the final, ironic dolphin
12708|52|F|236728.09|1993-01-08|5-LOW|Clerk#000000882|0|ly ironic deposits. quickly final sentiments cajole car
12709|80|O|75365.68|1996-05-11|5-LOW|Clerk#000000991|0|hely alongside of the a
12710|352|F|234269.68|1993-08-18|1-URGENT|Clerk#000000329|0|es wake furiously ironic accounts. fluffily ironic pinto bea
12711|26|F|85447.77|1992-02-20|1-URGENT|Clerk#000000326|0|usual instructions. pending, final deposits use. 
12736|226|F|245815.65|1993-03-09|5-LOW|Clerk#000000385|0|ithely express deposits. pinto beans n
12737|356|F|265354.99|1994-05-04|1-URGENT|Clerk#000000047|0|ly regular dinos affix slyly. ironic, quick packages boost carefully. specia
12738|400|O|150443.58|1998-06-12|2-HIGH|Clerk#000000613|0|sts boost: carefully even decoys integrate against the furiously reg
12739|232|F|44640.15|1992-03-02|4-NOT SPECIFIED|Clerk#000000078|0|side the bold, express depend
12740|133|O|44075.14|1997-06-05|2-HIGH|Clerk#000000643|0| the special deposits ca
12741|406|F|141369.62|1992-07-20|4-NOT SPECIFIED|Clerk#000000800|0| of the instructions. furiou
12742|226|O|24489.61|1997-06-07|5-LOW|Clerk#000000591|0|always final sauternes. carefully regula
12743|209|F|78346.19|1993-06-24|2-HIGH|Clerk#000000015|0|inal foxes cajole quickly. bli
12768|361|F|94153.88|1994-04-09|1-URGENT|Clerk#000000642|0|sly even accounts haggle slyly. blithely pending epitaphs boost. carefully f
12769|319|F|23696.92|1992-01-08|4-NOT SPECIFIED|Clerk#000000590|0|blithely across the furiously express foxes; slyly silent pa
12770|425|F|113826.53|1993-04-18|4-NOT SPECIFIED|Clerk#000000243|0|bove the special, regular ideas. final pinto beans grow? iro
12771|136|F|160466.29|1994-01-18|1-URGENT|Clerk#000000548|0|counts. furiously final dependencies sleep. fluffi
12772|436|P|217052.59|1995-05-12|4-NOT SPECIFIED|Clerk#000000248|0|ual requests wake quickly even pinto
12773|247|F|249186.03|1995-01-12|5-LOW|Clerk#000000670|0|s, pending ideas. fluffily ironic deposits cajole blithely furiously unusual
12774|334|F|62679.47|1992-10-10|1-URGENT|Clerk#000000067|0|ounts. quickly final requests 
12775|295|O|104758.51|1996-10-15|5-LOW|Clerk#000000553|0|s the quickly unusual 
12800|4|F|261762.79|1993-05-23|5-LOW|Clerk#000000898|0|. slyly final accounts cajole i
12801|424|O|182694.74|1997-08-28|3-MEDIUM|Clerk#000000582|0|bove the fluffily express asymptot
12802|445|O|191985.80|1998-03-02|1-URGENT|Clerk#000000774|0|ounts. special, pending ideas cajole pe
12803|118|F|29194.34|1993-02-26|4-NOT SPECIFIED|Clerk#000000876|0|sly final accounts use slyly final accounts. blithe
12804|221|F|287486.16|1992-05-26|3-MEDIUM|Clerk#000000544|0|l packages boost quickly ironic, 
12805|145|O|74236.61|1996-12-11|3-MEDIUM|Clerk#000000035|0| to the quickly special platelets? 
12806|158|O|177539.29|1995-12-25|4-NOT SPECIFIED|Clerk#000000181|0|s about the slyly regular pinto beans nag
12807|118|O|27068.31|1998-01-16|5-LOW|Clerk#000000393|0|uffily final accounts wake fur
12832|109|F|66392.28|1994-12-11|3-MEDIUM|Clerk#000000566|0|unts are after the regular packages. furiously pending
12833|386|O|66221.09|1998-06-14|5-LOW|Clerk#000000773|0|nts. even, pending foxes are
12834|227|O|239980.05|1996-11-03|4-NOT SPECIFIED|Clerk#000000370|0|ns. unusual ideas are. somas b
12835|112|O|119808.04|1997-01-20|4-NOT SPECIFIED|Clerk#000000894|0|ges. slyly final id
12836|317|O|227534.18|1996-04-18|3-MEDIUM|Clerk#000000728|0|es sleep furiously against the quickly even inst
12837|178|F|99856.08|1992-12-03|3-MEDIUM|Clerk#000000431|0|ter the slowly unusual foxes. blithely express pinto beans haggle. furiou
12838|34|O|87138.26|1998-07-01|1-URGENT|Clerk#000000424|0|fully ironic foxes. quickly pending accounts about the fin
12839|428|O|157521.29|1998-01-08|3-MEDIUM|Clerk#000001000|0|ng pinto beans. unusual theodolites engag
12864|196|F|108328.89|1994-05-17|2-HIGH|Clerk#000000620|0| the ironic, silent foxes. special
12865|382|O|196336.86|1997-05-23|5-LOW|Clerk#000000362|0|requests boost slyly carefully even instructions. carefully regular packages c
12866|430|O|151174.00|1997-01-17|3-MEDIUM|Clerk#000000996|0|y regular requests play carefully against the always final 
12867|19|F|187875.99|1995-03-12|4-NOT SPECIFIED|Clerk#000000638|0|lar platelets. blithely unusual deposits cajole carefully s
12868|313|P|182597.71|1995-03-02|1-URGENT|Clerk#000000993|0|ns sleep above the carefully ex
12869|419|F|100366.05|1994-01-26|4-NOT SPECIFIED|Clerk#000000871|0|s the pending foxes: fluffily regular requests wake slyly against the slyl
12870|410|F|41744.66|1993-07-28|1-URGENT|Clerk#000000157|0| furiously dogged theodolites. regular requests among the blithely 
12871|352|O|160919.65|1995-10-05|4-NOT SPECIFIED|Clerk#000000646|0|ally ironic packages. blithely regular asymptotes are a
12896|112|O|235306.16|1996-12-22|1-URGENT|Clerk#000000337|0|nic theodolites. slyly even pinto beans use quickly. care
12897|352|O|139956.95|1995-07-19|4-NOT SPECIFIED|Clerk#000000854|0|ost carefully regular packages. blithely 
12898|314|F|44388.47|1994-09-17|3-MEDIUM|Clerk#000000873|0|packages maintain carefully after 
12899|260|O|32468.77|1996-04-07|4-NOT SPECIFIED|Clerk#000000006|0|efully pending ideas cajole fluf
12900|67|F|41363.94|1993-05-04|2-HIGH|Clerk#000000285|0|s. even requests sleep carefully blithely unusual ac
12901|385|F|255672.44|1994-05-06|2-HIGH|Clerk#000000994|0|ely final requests. fu
12902|193|F|257675.08|1993-10-30|4-NOT SPECIFIED|Clerk#000000254|0|y regular deposits. regular instructions sleep
12903|91|F|75784.15|1994-09-26|1-URGENT|Clerk#000000914|0|wake furiously fluffily bold dolphins. blithely regular pinto beans sle
12928|191|F|207871.39|1994-03-28|2-HIGH|Clerk#000000465|0|ng slyly after the final requests. furiously special 
12929|277|F|102813.40|1993-08-31|1-URGENT|Clerk#000000397|0|g the blithely bold asymptotes. pending dependencies 
12930|322|O|9545.20|1995-11-25|2-HIGH|Clerk#000000162|0|es cajole alongside of the fluffily pending dependencies. regular
12931|233|F|69807.96|1992-04-25|3-MEDIUM|Clerk#000000196|0|final foxes boost across the slyly pending dependencies. even,
12932|71|O|125744.93|1997-08-27|3-MEDIUM|Clerk#000000787|0|ackages. foxes cajole blithely regular
12933|52|O|227503.27|1998-02-17|3-MEDIUM|Clerk#000000224|0|haggle according to
12934|187|F|224375.76|1994-03-06|4-NOT SPECIFIED|Clerk#000000441|0|sual, pending dependencies among 
12935|154|F|59379.31|1994-05-10|3-MEDIUM|Clerk#000000549|0|gouts at the even packages cajole slyly final packages. slyly enticin
12960|373|F|115163.23|1993-10-10|2-HIGH|Clerk#000000340|0|ng theodolites haggle after the final id
12961|343|F|112545.84|1994-12-13|2-HIGH|Clerk#000000913|0|rding to the enticing, final foxes use blithely furiou
12962|334|O|118347.11|1995-10-29|1-URGENT|Clerk#000000488|0|. accounts breach carefully blithely ironic deposits.
12963|370|O|49578.10|1998-07-08|3-MEDIUM|Clerk#000000546|0|uriously regular deposits wake slowly along t
12964|167|O|178725.25|1998-01-13|2-HIGH|Clerk#000000980|0|ronic instructions. quickly regular a
12965|290|F|108363.74|1993-06-26|3-MEDIUM|Clerk#000000650|0|ate slyly against the carefully final packages. furiously final requests alo
12966|68|O|39515.83|1997-10-11|5-LOW|Clerk#000000252|0|ly furiously final packages. carefully regular packages integrate quic
