L_ORDERKEY | L_PARTKEY | L_SUPPKEY | L_LINENUMBER | L_QUANTITY | L_EXTENDEDPRICE | L_DISCOUNT | L_TAX | L_RETURNFLAG | L_LINESTATUS | L_SHIPDATE | L_COMMITDATE | L_RECEIPTDATE | L_SHIPINSTRUCT | L_SHIPMODE | L_COMMENT
6020|359|6|1|50|62967.50|0.03|0.00|A|F|1994-11-18|1994-12-11|1994-11-24|TAKE BACK RETURN|REG AIR|r deposits nag carefully
6020|154|11|2|47|49545.05|0.03|0.07|R|F|1994-10-31|1994-10-29|1994-11-21|NONE|TRUCK|s cajole. carefully special dep
6020|84|25|3|1|984.08|0.06|0.05|A|F|1995-01-12|1994-11-03|1995-01-27|TAKE BACK RETURN|FOB|hins cajole carefully. bold waters ha
6020|210|27|4|38|42187.98|0.05|0.00|R|F|1994-11-07|1994-10-30|1994-11-15|DELIVER IN PERSON|RAIL|ccounts. account
6020|511|26|5|33|46579.83|0.09|0.01|R|F|1994-12-11|1994-11-06|1995-01-09|DELIVER IN PERSON|FOB|ly across the asymptotes. ironic requests e
6020|523|26|6|32|45552.64|0.00|0.01|A|F|1994-10-30|1994-11-30|1994-11-27|NONE|TRUCK|s about the carefully even instruc
6020|81|22|7|37|36299.96|0.09|0.06|R|F|1994-10-15|1994-11-17|1994-11-10|NONE|RAIL|kages sleep stealthil
6021|189|19|1|16|17426.88|0.06|0.07|N|O|1998-01-28|1997-12-14|1998-02-11|COLLECT COD|AIR|mptotes against the packages cajole car
6021|422|24|2|37|48929.54|0.03|0.02|N|O|1997-12-12|1998-01-05|1997-12-13|TAKE BACK RETURN|SHIP|unts. slyly regular foxes impress care
6021|555|11|3|31|45122.05|0.01|0.05|N|O|1997-12-30|1998-01-30|1997-12-31|TAKE BACK RETURN|SHIP|n foxes. silently even requests use sl
6021|577|30|4|7|10342.99|0.10|0.06|N|O|1998-01-30|1998-01-14|1998-02-23|COLLECT COD|REG AIR|bold packages. 
6021|483|4|5|12|16601.76|0.06|0.04|N|O|1997-11-25|1998-01-24|1997-12-02|DELIVER IN PERSON|MAIL|ing ideas sleep blithely final
6021|204|25|6|38|41959.60|0.03|0.00|N|O|1997-12-11|1997-12-21|1998-01-10|NONE|MAIL|quickly special requests sl
6022|184|1|1|23|24936.14|0.06|0.04|A|F|1995-05-05|1995-03-25|1995-05-14|COLLECT COD|SHIP| ideas use furiously express gifts. fluffil
6022|431|12|2|37|49262.91|0.07|0.01|N|F|1995-06-10|1995-03-15|1995-07-07|NONE|FOB|ts. bold deposits are eve
6022|351|28|3|9|11262.15|0.05|0.08|A|F|1995-02-20|1995-05-14|1995-03-02|DELIVER IN PERSON|AIR|s. packages detect furiously abou
6022|99|20|4|24|23978.16|0.01|0.03|N|F|1995-06-10|1995-05-02|1995-06-22|COLLECT COD|TRUCK| furiously express deposit
6022|168|25|5|46|49135.36|0.03|0.06|A|F|1995-02-20|1995-05-02|1995-03-22|COLLECT COD|TRUCK|e blithely 
6022|468|3|6|42|57475.32|0.05|0.04|N|F|1995-06-14|1995-03-21|1995-06-27|COLLECT COD|REG AIR|ole blithely pending requests. fin
6022|525|16|7|32|45616.64|0.03|0.06|A|F|1995-03-02|1995-05-14|1995-03-27|COLLECT COD|MAIL|y. frays are after the blit
6023|216|21|1|12|13394.52|0.03|0.08|N|O|1998-04-16|1998-05-18|1998-05-13|TAKE BACK RETURN|RAIL|elets wake slyly after t
6023|470|13|2|20|27409.40|0.07|0.02|N|O|1998-06-14|1998-05-18|1998-07-08|DELIVER IN PERSON|MAIL|mptotes wake regular, even 
6023|599|22|3|9|13496.31|0.10|0.01|N|O|1998-06-24|1998-06-23|1998-07-10|NONE|FOB|, final requests. careful
6023|7|22|4|48|43536.00|0.02|0.07|N|O|1998-06-25|1998-05-25|1998-07-04|TAKE BACK RETURN|SHIP|yers; theodolites alongside of the slyl
6023|384|14|5|27|34678.26|0.02|0.01|N|O|1998-04-28|1998-07-09|1998-05-16|TAKE BACK RETURN|MAIL|ily regular, s
6023|596|19|6|45|67346.55|0.07|0.01|N|O|1998-06-14|1998-06-14|1998-07-08|DELIVER IN PERSON|RAIL|st carefull
6023|83|21|7|2|1966.16|0.10|0.06|N|O|1998-05-10|1998-07-02|1998-06-09|NONE|TRUCK|s-- bold forges wake furiously. quic
6048|357|4|1|6|7544.10|0.05|0.06|N|O|1996-05-03|1996-07-02|1996-05-20|DELIVER IN PERSON|REG AIR|. carefully
6048|423|4|2|4|5293.68|0.05|0.05|N|O|1996-06-21|1996-05-18|1996-07-19|TAKE BACK RETURN|AIR|ole slyly furio
6048|51|8|3|12|11412.60|0.01|0.06|N|O|1996-05-28|1996-05-31|1996-06-02|DELIVER IN PERSON|FOB|al instructions us
6048|339|16|4|22|27265.26|0.00|0.08|N|O|1996-07-24|1996-06-20|1996-07-28|NONE|TRUCK|ously express foxes about the carefully
6048|222|11|5|19|21322.18|0.05|0.04|N|O|1996-07-17|1996-07-08|1996-07-31|NONE|SHIP|furiously r
6048|339|28|6|39|48333.87|0.06|0.08|N|O|1996-06-26|1996-05-16|1996-06-27|NONE|TRUCK|ven hockey players. furiously
6048|599|26|7|14|20994.26|0.09|0.01|N|O|1996-08-04|1996-06-27|1996-08-15|COLLECT COD|RAIL|ronic reques
6049|307|29|1|44|53121.20|0.00|0.07|N|O|1998-06-26|1998-04-18|1998-06-29|DELIVER IN PERSON|SHIP|o the care
6049|175|2|2|1|1075.17|0.00|0.05|N|O|1998-06-17|1998-05-05|1998-07-12|COLLECT COD|SHIP|ly even dependencies
6049|500|14|3|10|14005.00|0.08|0.04|N|O|1998-04-06|1998-05-15|1998-05-03|DELIVER IN PERSON|SHIP|l, regular
6049|115|16|4|41|41619.51|0.05|0.00|N|O|1998-04-13|1998-05-19|1998-05-13|COLLECT COD|SHIP| regular requests detect d
6049|16|24|5|18|16488.18|0.09|0.05|N|O|1998-03-18|1998-04-21|1998-04-13|TAKE BACK RETURN|FOB|regular requests are pending
6049|222|11|6|19|21322.18|0.04|0.00|N|O|1998-04-21|1998-04-20|1998-05-17|TAKE BACK RETURN|RAIL|slyly express accou
6049|316|8|7|46|55950.26|0.03|0.08|N|O|1998-04-08|1998-04-28|1998-04-16|COLLECT COD|RAIL|endencies sleep bold platelets. careful
6050|597|28|1|31|46425.29|0.04|0.02|A|F|1993-06-06|1993-04-30|1993-06-10|DELIVER IN PERSON|RAIL|aggle blithely. blithely iro
6050|80|21|2|28|27442.24|0.08|0.05|R|F|1993-07-12|1993-05-14|1993-07-21|TAKE BACK RETURN|FOB|ns sleep c
6050|483|13|3|27|37353.96|0.09|0.06|A|F|1993-05-26|1993-05-19|1993-06-14|DELIVER IN PERSON|TRUCK|detect carefully across the fluff
6050|463|6|4|28|38176.88|0.03|0.03|A|F|1993-04-16|1993-05-16|1993-04-28|COLLECT COD|RAIL|y pending deposits run carefully. bold cou
6051|569|30|1|44|64660.64|0.07|0.07|N|O|1998-08-19|1998-07-04|1998-09-13|COLLECT COD|FOB|odolites-- fin
6051|405|26|2|8|10443.20|0.05|0.07|N|O|1998-06-09|1998-08-01|1998-06-22|NONE|SHIP| requests doze. special,
6051|427|8|3|30|39822.60|0.09|0.06|N|O|1998-07-05|1998-06-29|1998-07-17|TAKE BACK RETURN|REG AIR|efully busy asymptote
6051|251|12|4|17|19571.25|0.09|0.05|N|O|1998-08-17|1998-07-28|1998-08-29|NONE|SHIP| furiously special requests lose
6051|462|19|5|50|68123.00|0.05|0.05|N|O|1998-06-15|1998-07-29|1998-06-30|DELIVER IN PERSON|TRUCK|osits are furiousl
6051|392|3|6|27|34894.53|0.08|0.01|N|O|1998-05-23|1998-07-06|1998-06-20|NONE|FOB| blithely regular courts 
6052|235|26|1|12|13622.76|0.10|0.05|A|F|1993-04-30|1993-05-19|1993-05-08|COLLECT COD|REG AIR|he even packag
6052|420|1|2|45|59418.90|0.09|0.06|R|F|1993-08-13|1993-07-05|1993-08-17|TAKE BACK RETURN|SHIP|. regular, final platelets boost fluffi
6053|265|26|1|23|26800.98|0.08|0.05|R|F|1994-01-26|1994-01-24|1994-02-11|NONE|SHIP| permanently unus
6053|214|3|2|22|24512.62|0.09|0.07|A|F|1994-01-22|1994-02-04|1994-02-09|NONE|FOB| foxes affix carefully unusual dep
6054|539|18|1|42|60460.26|0.07|0.08|N|O|1995-11-30|1995-10-11|1995-12-05|TAKE BACK RETURN|TRUCK|lithely final accounts
6054|525|16|2|30|42765.60|0.05|0.08|N|O|1995-09-19|1995-10-29|1995-10-03|TAKE BACK RETURN|MAIL|r deposits slee
6055|265|26|1|5|5826.30|0.04|0.05|N|O|1997-01-04|1997-01-20|1997-01-21|TAKE BACK RETURN|REG AIR|gly ironic foxes. quickly 
6055|149|30|2|40|41965.60|0.07|0.07|N|O|1996-11-19|1997-01-07|1996-12-08|COLLECT COD|TRUCK|nst the quickly unusual platelets sleep s
6055|316|17|3|9|10946.79|0.10|0.02|N|O|1997-02-25|1996-12-29|1997-03-13|DELIVER IN PERSON|AIR|ely furiously ironi
6055|377|7|4|14|17883.18|0.05|0.06|N|O|1996-12-29|1997-01-17|1997-01-04|DELIVER IN PERSON|SHIP|the packages? quickly unu
6055|289|8|5|6|7135.68|0.05|0.00|N|O|1997-02-14|1996-12-20|1997-03-04|NONE|RAIL|atelets affix slyly furiously eve
6055|527|18|6|48|68520.96|0.04|0.07|N|O|1996-12-01|1996-12-12|1996-12-15|DELIVER IN PERSON|RAIL|ly regular packa
6055|158|21|7|6|6348.90|0.05|0.07|N|O|1997-02-20|1996-12-15|1997-03-07|COLLECT COD|FOB| against the final, ironic deposits. b
6080|216|7|1|41|45764.61|0.03|0.07|N|O|1996-10-02|1996-08-20|1996-10-14|NONE|RAIL|g the furiously regular account
6081|277|8|1|48|56508.96|0.05|0.04|N|O|1997-12-29|1998-01-04|1998-01-05|TAKE BACK RETURN|TRUCK|y unusual packages 
6081|165|28|2|8|8521.28|0.07|0.08|N|O|1998-02-22|1998-01-06|1998-03-11|TAKE BACK RETURN|SHIP|ully. deposits sleep. furiousl
6081|105|6|3|4|4020.40|0.08|0.01|N|O|1997-12-05|1998-01-27|1997-12-23|COLLECT COD|TRUCK|fully carefully unusual accounts-
6081|527|6|4|26|37115.52|0.04|0.08|N|O|1997-12-07|1998-01-10|1997-12-13|TAKE BACK RETURN|REG AIR|s. ideas above the carefully fi
6081|252|13|5|8|9218.00|0.07|0.06|N|O|1997-11-11|1997-12-07|1997-12-03|COLLECT COD|FOB|final asymptotes. slyly express
6081|53|24|6|36|34309.80|0.04|0.00|N|O|1998-01-14|1998-01-05|1998-02-02|TAKE BACK RETURN|RAIL|ess, special ac
6082|343|8|1|48|59680.32|0.03|0.08|N|O|1996-06-06|1996-05-06|1996-06-08|NONE|FOB|ter the slyly final theodolites. foxes us
6082|293|12|2|2|2386.58|0.04|0.08|N|O|1996-05-31|1996-04-12|1996-06-13|DELIVER IN PERSON|AIR| the packages. express deposits affix
6082|104|15|3|45|45184.50|0.09|0.06|N|O|1996-04-08|1996-04-29|1996-04-27|TAKE BACK RETURN|REG AIR|ronic asymptotes. fi
6083|240|15|1|19|21664.56|0.07|0.06|N|O|1996-09-27|1996-09-28|1996-10-12|DELIVER IN PERSON|SHIP|l deposits haggle. regular 
6083|437|18|2|46|61521.78|0.03|0.07|N|O|1996-10-23|1996-09-04|1996-11-04|TAKE BACK RETURN|SHIP|gular ideas. slyly regular
6084|273|6|1|27|31678.29|0.04|0.08|N|O|1997-03-01|1997-02-14|1997-03-17|COLLECT COD|AIR|e platelets nag regular, quick
6084|21|13|2|4|3684.08|0.07|0.03|N|O|1997-03-30|1997-03-14|1997-04-20|NONE|MAIL| to cajole a
6084|83|12|3|3|2949.24|0.10|0.05|N|O|1997-04-01|1997-02-20|1997-04-29|COLLECT COD|TRUCK|y ironic depo
6084|326|14|4|15|18394.80|0.09|0.00|N|O|1996-12-21|1997-01-16|1996-12-28|NONE|REG AIR| theodolites: 
6084|100|21|5|26|26002.60|0.10|0.03|N|O|1997-04-17|1997-03-17|1997-04-23|TAKE BACK RETURN|FOB| dolphins sleep. s
6084|56|5|6|12|11472.60|0.02|0.07|N|O|1996-12-19|1997-02-22|1997-01-17|DELIVER IN PERSON|REG AIR| sleep furiously slyly special pint
6085|587|18|1|17|25288.86|0.10|0.07|N|O|1998-05-10|1998-04-01|1998-06-01|TAKE BACK RETURN|FOB|ly ironic courts after the fluffily expres
6085|93|24|2|2|1986.18|0.05|0.04|N|O|1998-03-30|1998-03-15|1998-04-26|DELIVER IN PERSON|RAIL|al accounts. requests integrate always alon
6085|60|17|3|8|7680.48|0.01|0.02|N|O|1998-05-03|1998-05-05|1998-05-14|COLLECT COD|TRUCK|riously after the bl
6086|532|11|1|42|60166.26|0.03|0.06|N|O|1996-01-17|1995-11-16|1996-02-07|NONE|MAIL|of the instr
6086|27|5|2|10|9270.20|0.03|0.00|N|O|1996-01-13|1995-12-19|1996-01-25|DELIVER IN PERSON|TRUCK|lyly ironic requ
6086|166|23|3|25|26654.00|0.01|0.02|N|O|1995-10-18|1995-11-04|1995-11-06|NONE|TRUCK|l packages inside the final packages are
6086|244|5|4|37|42336.88|0.05|0.02|N|O|1995-10-15|1995-11-17|1995-11-04|TAKE BACK RETURN|MAIL|ckages are carefully bold deposits. blithe
6086|445|17|5|2|2690.88|0.05|0.05|N|O|1995-12-24|1995-11-20|1996-01-03|NONE|AIR|fully busy orbi
6086|70|29|6|50|48503.50|0.10|0.05|N|O|1995-11-26|1995-10-28|1995-12-13|NONE|MAIL|doze blithely. deposits are
6087|498|19|1|15|20977.35|0.02|0.02|N|O|1998-03-11|1998-02-12|1998-03-18|TAKE BACK RETURN|REG AIR|the final ideas. fluffily pen
6087|151|26|2|43|45199.45|0.04|0.06|N|O|1998-04-17|1998-03-14|1998-04-28|TAKE BACK RETURN|SHIP|press accounts against the furi
6087|182|12|3|44|47615.92|0.07|0.07|N|O|1998-03-25|1998-03-14|1998-04-05|NONE|MAIL|nts according to the quickly bold pack
6087|360|25|4|10|12603.60|0.05|0.00|N|O|1998-01-21|1998-03-26|1998-01-29|TAKE BACK RETURN|AIR|ptotes. special excuses haggle furiously
6087|211|2|5|22|24446.62|0.09|0.07|N|O|1998-02-01|1998-02-23|1998-02-27|NONE|RAIL|. slyly bo
6087|525|28|6|9|12829.68|0.09|0.06|N|O|1998-03-19|1998-02-13|1998-03-23|COLLECT COD|MAIL|otes cajole carefully fin
6087|568|24|7|48|70490.88|0.05|0.01|N|O|1998-04-05|1998-03-21|1998-04-25|COLLECT COD|REG AIR| pending dependencies sle
6112|80|21|1|12|11760.96|0.03|0.02|R|F|1994-09-29|1994-11-18|1994-10-19|DELIVER IN PERSON|TRUCK|usual asymptotes sleep blithely slyly even 
6112|103|24|2|1|1003.10|0.05|0.07|A|F|1994-09-13|1994-11-01|1994-09-26|TAKE BACK RETURN|AIR|he furiously 
6112|38|3|3|7|6566.21|0.08|0.08|A|F|1994-10-06|1994-10-20|1994-10-07|DELIVER IN PERSON|MAIL|iously ironic deposits impress ca
6112|47|12|4|24|22728.96|0.06|0.04|R|F|1994-12-17|1994-11-12|1994-12-18|COLLECT COD|REG AIR|ending, pending 
6112|589|12|5|32|47666.56|0.00|0.00|R|F|1994-10-30|1994-10-31|1994-11-12|COLLECT COD|AIR|ies cajole furiously ab
6112|196|26|6|28|30693.32|0.06|0.08|R|F|1994-10-04|1994-10-14|1994-10-09|NONE|RAIL|nal, ironic deposits wake quickl
6112|441|22|7|5|6707.20|0.03|0.06|R|F|1994-09-11|1994-11-12|1994-09-25|DELIVER IN PERSON|FOB|p idly abou
6113|517|26|1|48|68040.48|0.09|0.03|N|O|1998-11-11|1998-09-23|1998-11-22|NONE|AIR|egular asymptotes han
6113|296|27|2|16|19140.64|0.03|0.02|N|O|1998-10-02|1998-10-11|1998-10-11|COLLECT COD|FOB|s; packages are carefully ironic 
6113|477|4|3|11|15152.17|0.01|0.08|N|O|1998-10-09|1998-09-16|1998-11-06|TAKE BACK RETURN|RAIL|dolphins. final,
6113|192|22|4|31|33857.89|0.03|0.08|N|O|1998-10-19|1998-08-22|1998-11-14|TAKE BACK RETURN|MAIL|counts. furiously regular dolph
6113|124|27|5|13|13313.56|0.00|0.07|N|O|1998-10-09|1998-09-22|1998-10-15|COLLECT COD|REG AIR|elets nag idly 
6113|84|13|6|33|32474.64|0.09|0.02|N|O|1998-11-13|1998-09-05|1998-12-07|COLLECT COD|FOB|ending pinto beans are carefu
6113|197|27|7|11|12069.09|0.09|0.04|N|O|1998-09-11|1998-09-20|1998-09-29|DELIVER IN PERSON|SHIP|nding dependencies. slyly even th
6114|538|29|1|7|10069.71|0.09|0.02|N|O|1998-05-17|1998-07-03|1998-05-24|TAKE BACK RETURN|REG AIR|thely unusual 
6114|165|28|2|14|14912.24|0.07|0.07|N|O|1998-04-17|1998-05-25|1998-05-07|TAKE BACK RETURN|SHIP|along the pending packages affix blithe
6114|280|13|3|27|31867.56|0.03|0.04|N|O|1998-04-23|1998-07-05|1998-05-21|DELIVER IN PERSON|SHIP|ing foxes. special instructions use c
6114|250|11|4|7|8051.75|0.03|0.01|N|O|1998-04-13|1998-07-01|1998-05-08|TAKE BACK RETURN|TRUCK|its hang slyly. blithely regul
6114|547|28|5|19|27503.26|0.05|0.08|N|O|1998-05-31|1998-07-07|1998-06-03|DELIVER IN PERSON|TRUCK|g deposits. sp
6114|80|30|6|9|8820.72|0.09|0.03|N|O|1998-05-12|1998-05-20|1998-05-25|COLLECT COD|MAIL|re unusual dependencies. fluffily ironic de
6115|110|21|1|32|32323.52|0.06|0.01|R|F|1993-10-30|1993-11-18|1993-11-05|DELIVER IN PERSON|FOB|ake. carefully final foxes alongside of 
6115|396|7|2|43|55744.77|0.02|0.01|R|F|1994-01-09|1993-11-26|1994-02-06|NONE|SHIP|xes. quickly final accou
6115|450|13|3|24|32410.80|0.06|0.06|A|F|1993-12-25|1993-10-23|1993-12-26|DELIVER IN PERSON|SHIP|en decoys wake carefully 
6115|136|9|4|12|12433.56|0.00|0.00|R|F|1993-12-08|1993-11-02|1993-12-15|COLLECT COD|AIR|ep. fluffily pending pint
6115|225|30|5|44|49509.68|0.00|0.04|R|F|1993-11-22|1993-11-23|1993-12-09|TAKE BACK RETURN|MAIL|into beans sleep quickly quickly iro
6115|183|30|6|20|21663.60|0.02|0.07|R|F|1993-11-27|1993-10-29|1993-12-07|NONE|FOB|ent deposits ar
6116|129|10|1|6|6174.72|0.07|0.07|R|F|1994-06-12|1994-06-08|1994-06-29|NONE|SHIP|he furiously final ideas. furiou
6116|546|7|2|2|2893.08|0.10|0.08|R|F|1994-04-07|1994-06-16|1994-05-05|TAKE BACK RETURN|REG AIR|ven, ironic pinto beans. ironic foxes 
6116|397|28|3|42|54490.38|0.01|0.00|R|F|1994-07-13|1994-06-07|1994-07-25|DELIVER IN PERSON|SHIP|nusual pac
6116|599|30|4|33|49486.47|0.06|0.00|R|F|1994-03-25|1994-06-04|1994-04-03|TAKE BACK RETURN|RAIL|quests sleep. slyly pending
6116|343|2|5|43|53463.62|0.08|0.03|A|F|1994-04-27|1994-05-09|1994-05-04|COLLECT COD|RAIL|. final, quick deposits ca
6116|114|25|6|14|14197.54|0.02|0.01|A|F|1994-05-18|1994-06-16|1994-05-24|TAKE BACK RETURN|REG AIR|uriously busy deposits sleep in
6116|43|8|7|30|28291.20|0.09|0.08|R|F|1994-06-30|1994-05-01|1994-07-07|COLLECT COD|TRUCK|pinto beans are evenly; fur
6117|235|24|1|34|38597.82|0.03|0.05|R|F|1993-01-28|1993-03-06|1993-02-02|NONE|TRUCK| after the slyly quick requests. depen
6117|48|19|2|42|39817.68|0.06|0.00|R|F|1993-02-07|1993-02-25|1993-02-25|NONE|TRUCK| theodolites. blithely brave packages wake
6117|140|21|3|22|22883.08|0.05|0.02|A|F|1992-12-27|1993-03-10|1993-01-20|NONE|TRUCK|bravely eve
6117|344|21|4|25|31108.50|0.04|0.02|R|F|1993-03-15|1993-02-09|1993-03-16|TAKE BACK RETURN|FOB|ld instructio
6117|204|25|5|16|17667.20|0.04|0.06|R|F|1993-04-17|1993-03-19|1993-05-10|NONE|REG AIR|c escapades. fur
6117|55|20|6|3|2865.15|0.08|0.03|R|F|1993-03-07|1993-01-28|1993-04-04|COLLECT COD|RAIL|c requests. account
6118|67|17|1|23|22242.38|0.07|0.07|N|O|1997-06-01|1997-06-19|1997-06-13|DELIVER IN PERSON|AIR|ies. packages among t
6118|548|4|2|43|62287.22|0.03|0.01|N|O|1997-05-30|1997-05-14|1997-06-26|NONE|REG AIR|f the fluffily
6118|423|25|3|4|5293.68|0.10|0.04|N|O|1997-05-13|1997-05-19|1997-06-04|TAKE BACK RETURN|TRUCK|ss instructions are always ac
6118|122|25|4|44|44973.28|0.04|0.06|N|O|1997-05-18|1997-06-01|1997-05-27|COLLECT COD|AIR|nts according to the ironic requests
6118|418|29|5|7|9228.87|0.01|0.00|N|O|1997-04-02|1997-06-01|1997-04-04|TAKE BACK RETURN|MAIL|ng the theodol
6119|232|5|1|22|24909.06|0.04|0.03|R|F|1992-08-06|1992-09-05|1992-08-08|NONE|AIR| unusual packages. regular accounts c
6119|547|23|2|26|37636.04|0.10|0.06|A|F|1992-08-30|1992-09-24|1992-09-10|COLLECT COD|MAIL|ithely. slyly ironic foxes
6144|32|3|1|46|42873.38|0.08|0.02|A|F|1994-08-26|1994-09-06|1994-09-17|NONE|FOB| theodolites across the final
6144|535|26|2|20|28710.60|0.05|0.04|A|F|1994-09-06|1994-09-18|1994-09-27|NONE|REG AIR| cajole fluffily quickly unusua
6144|217|8|3|7|7820.47|0.00|0.07|A|F|1994-10-07|1994-07-26|1994-10-15|COLLECT COD|AIR|fully final pi
6144|120|1|4|22|22442.64|0.07|0.00|R|F|1994-07-08|1994-09-14|1994-07-17|NONE|MAIL|unts boost according to the quickly sile
6145|593|24|1|14|20910.26|0.04|0.00|N|O|1998-06-27|1998-06-10|1998-07-27|NONE|AIR|y express, regular packages. sl
6145|515|24|2|1|1415.51|0.05|0.04|N|O|1998-07-10|1998-07-09|1998-08-05|COLLECT COD|RAIL|l dolphins. ironic, express
6146|463|14|1|35|47721.10|0.01|0.00|N|O|1996-03-17|1996-01-28|1996-04-12|DELIVER IN PERSON|MAIL|as use according to the slyly final 
6146|285|2|2|9|10667.52|0.00|0.08|N|O|1996-03-07|1996-02-14|1996-03-12|DELIVER IN PERSON|SHIP|fily alongside of the even pac
6146|500|21|3|16|22408.00|0.09|0.06|N|O|1996-02-29|1996-01-29|1996-03-01|COLLECT COD|MAIL|al foxes across the deposits sleep slyly 
6147|572|25|1|35|51539.95|0.06|0.05|N|O|1995-10-13|1995-11-28|1995-10-21|COLLECT COD|SHIP|lithe package
6147|538|11|2|24|34524.72|0.09|0.00|N|O|1995-11-01|1995-11-26|1995-11-24|DELIVER IN PERSON|RAIL|into beans sleep. slyly special asymptot
6147|525|10|3|49|69850.48|0.04|0.07|N|O|1995-11-11|1995-12-14|1995-12-11|TAKE BACK RETURN|RAIL|ide of the special, final packages.
