O_ORDERKEY | O_CUSTKEY | O_ORDERSTATUS | O_TOTALPRICE | O_ORDERDATE | O_ORDER-PRIORITY | O_CLERK | O_SHIP-PRIORITY | O_COMMENT
6083|364|O|85210.36|1996-07-16|5-LOW|Clerk#000000462|0|sits affix quickly above the final instructions. carefully regular accounts d
6084|187|O|92033.85|1996-12-17|2-HIGH|Clerk#000000797|0|ing deposits should use. furiously silen
6085|166|O|34071.24|1998-02-09|3-MEDIUM|Clerk#000000340|0|s according to the carefully even pinto beans cajole 
6086|199|O|187314.60|1995-09-23|1-URGENT|Clerk#000000743|0|ely regular pinto beans. even platelets boost furiously
6087|221|O|230135.06|1998-01-10|2-HIGH|Clerk#000000829|0| carefully express requests. pending, express packag
6112|19|F|127122.67|1994-08-24|3-MEDIUM|Clerk#000000021|0|above the carefully thi
6113|173|O|190192.91|1998-07-16|4-NOT SPECIFIED|Clerk#000000806|0| affix quickly. slyly bold requests sleep slyly sometimes e
6114|256|O|100708.11|1998-04-12|5-LOW|Clerk#000000282|0|osits. never ironic pint
6115|433|F|204798.27|1993-09-12|3-MEDIUM|Clerk#000000363|0|iously around the final requests. fl
6116|404|F|201938.68|1994-03-21|3-MEDIUM|Clerk#000000605|0|ly despite the slyly final instructions. dinos cajole grouches. furiously r
6117|52|F|150068.75|1992-12-22|1-URGENT|Clerk#000000763|0|always. special dec
6118|382|O|143012.42|1997-03-26|5-LOW|Clerk#000000720|0|equests wake blithely fluffily ironic deposits. a
6119|328|F|60534.84|1992-07-04|2-HIGH|Clerk#000000354|0|s wake above the blithely idle accounts. pending, regular package
6144|73|F|97837.99|1994-06-22|1-URGENT|Clerk#000000444|0|es against the carefully express 
6145|257|O|21472.35|1998-04-12|5-LOW|Clerk#000000211|0|ts boost carefully furiously express deposi
6146|49|O|80379.55|1995-12-01|5-LOW|Clerk#000000362|0|ges except the blithely express somas hag
6147|262|O|154037.82|1995-10-02|1-URGENT|Clerk#000000134|0|carefully special acco
6148|134|O|82793.52|1995-12-25|3-MEDIUM|Clerk#000000291|0|lent deposits. depen
6149|187|O|1535.85|1996-11-17|5-LOW|Clerk#000000964|0|sts until the furiou
6150|266|F|215546.92|1992-10-02|1-URGENT|Clerk#000000064|0| carefully final foxes. carefully silent depo
6151|112|F|52791.47|1993-07-12|1-URGENT|Clerk#000000807|0|s are ironically. ironic br
6176|35|O|79411.27|1996-11-11|5-LOW|Clerk#000000531|0|ly special foxes near
6177|329|O|107548.06|1997-06-30|4-NOT SPECIFIED|Clerk#000000539|0|cajole slyly at the thin theodolites. furiously final courts 
6178|196|O|61259.80|1995-08-09|2-HIGH|Clerk#000000817|0|s affix fluffily enticingly final dependencies. multipliers are final,
6179|370|F|211207.51|1994-06-03|4-NOT SPECIFIED|Clerk#000000741|0|tes according to the furiously special packages are 
6180|121|F|85159.37|1995-04-12|3-MEDIUM|Clerk#000000807|0|s after the regular, unusual accounts nag pinto beans. pend
6181|151|O|33516.89|1996-05-15|2-HIGH|Clerk#000000441|0|the furiously even deposits use slyly ironic deposits. blithely special fox
6182|440|F|236185.79|1992-07-22|5-LOW|Clerk#000000149|0|s are carefully. even, final requests cajole. regular, bold 
6183|103|F|187853.19|1992-06-16|3-MEDIUM|Clerk#000000157|0|s. deposits boost furiously caref
6208|187|O|72779.74|1996-10-06|4-NOT SPECIFIED|Clerk#000000526|0|jole. slow instructio
6209|326|O|106453.63|1996-08-03|4-NOT SPECIFIED|Clerk#000000335|0|ly regular orbits. carefully quiet orbits sleep furiously furi
6210|206|O|199346.78|1996-11-06|5-LOW|Clerk#000000351|0|le slyly slyly silent courts. sentime
6211|389|F|131404.69|1994-11-24|1-URGENT|Clerk#000000850|0| ironic accounts may hinder across the car
6212|35|O|30084.19|1996-05-01|3-MEDIUM|Clerk#000000786|0| are furiously above the even, silent deposits. carefully
6213|322|O|62283.96|1995-07-25|5-LOW|Clerk#000000337|0|always pending deposits. quickly pending fox
6214|44|O|3900.92|1996-07-03|3-MEDIUM|Clerk#000000711|0|ously bold forges. carefully even theodolites sublate slyly depo
6215|187|O|280637.79|1996-11-24|4-NOT SPECIFIED|Clerk#000000550|0|quests cajole slyly carefully regular ideas. careful
6240|361|O|148722.83|1998-06-03|1-URGENT|Clerk#000000407|0|carefully above the asymptotes. fluffily express courts sleep slyly above t
6241|41|F|65628.81|1994-12-30|5-LOW|Clerk#000000353|0|dencies snooze furiously above the blithely ironic p
6242|142|O|185219.54|1997-12-02|3-MEDIUM|Clerk#000000172|0|sits cajole blithely. pending accounts along the brave pinto beans will hav
6243|73|F|78698.33|1994-09-28|4-NOT SPECIFIED|Clerk#000000358|0|lent attainments? ironic, even dolphins above the furiously final inst
6244|427|F|49605.47|1993-08-19|2-HIGH|Clerk#000000549|0|ic packages. regular platelets believe furiously foxes. blithely pen
6245|220|O|96907.24|1997-11-10|3-MEDIUM|Clerk#000000167|0|oxes cajole final foxes? ruthlessly special pinto beans boost against the foxe
6246|214|F|194445.84|1994-10-22|4-NOT SPECIFIED|Clerk#000000229|0|equests wake busily bold theodolites. even instruc
6247|140|O|51624.81|1996-11-22|3-MEDIUM|Clerk#000000324|0|dle, even accounts. ca
6272|269|F|199611.05|1993-02-28|2-HIGH|Clerk#000000434|0| packages boost quickly even, even excuses! slyly ironic instruction
6273|13|F|30827.17|1995-02-06|1-URGENT|Clerk#000000206|0|above the fluffily regular accounts! furiously ironic ideas sleep regular 
6274|25|O|209541.36|1995-07-15|4-NOT SPECIFIED|Clerk#000000061|0|packages. carefully express deposits dazzle quickly fur
6275|35|O|179606.20|1996-12-24|1-URGENT|Clerk#000000818|0| pinto beans cajole. quickly unusual ideas caj
6276|221|P|140650.19|1995-05-08|5-LOW|Clerk#000000914|0|he always express platelets. spe
6277|169|O|86577.25|1997-01-28|3-MEDIUM|Clerk#000000104|0|furiously regular dolphins use quickly around the
6278|101|F|140078.77|1992-01-05|2-HIGH|Clerk#000000042|0|ironic deposits sleep carefully at the fluffily regular acc
6279|334|F|52998.50|1993-01-30|1-URGENT|Clerk#000000519|0|about the regular frays. blithely regular courts wake 
6304|169|O|123134.48|1995-08-12|2-HIGH|Clerk#000000628|0|jole slyly around the dogged ideas. slyly regular dependencies are blithely. 
6305|25|O|180604.60|1997-01-16|4-NOT SPECIFIED|Clerk#000000759|0|p regular, quiet foxes. furiously unusual pac
6306|4|O|21074.39|1998-05-04|4-NOT SPECIFIED|Clerk#000000005|0|s haggle fluffily carefully pe
6307|7|O|51855.66|1997-11-06|4-NOT SPECIFIED|Clerk#000000287|0| above the regular, even asymptotes. iron
6308|269|O|32640.47|1997-07-11|2-HIGH|Clerk#000000231|0|und the fluffily bold packages. blithely final plat
6309|391|F|203513.25|1993-06-10|3-MEDIUM|Clerk#000000476|0|efully alongside of the quickly special requests. qu
6310|214|F|252427.36|1994-05-04|4-NOT SPECIFIED|Clerk#000000272|0|silent packages are carefully. packages 
6311|187|F|27518.35|1993-02-11|3-MEDIUM|Clerk#000000844|0|ndencies cajole furiously alongside of the regular grouches. p
6336|394|O|58592.41|1995-08-29|2-HIGH|Clerk#000000875|0|solve blithely blithely regular instructions! blithely final req
6337|349|O|168626.69|1995-09-01|4-NOT SPECIFIED|Clerk#000000301|0|r ideas boost. even, unusual pint
6338|445|F|123477.75|1992-02-25|5-LOW|Clerk#000000413|0|lent deposits boost doggedly afte
6339|347|F|116949.62|1992-12-12|1-URGENT|Clerk#000000413|0|. blithely unusual platelets kindl
6340|70|O|196580.24|1996-10-09|3-MEDIUM|Clerk#000000638|0|requests sleep carefully. slyly bold pac
6341|382|O|163614.61|1996-06-08|3-MEDIUM|Clerk#000000910|0| grow alongside of the ironically ironic foxes. ironically final acc
6342|86|O|156944.72|1997-11-25|1-URGENT|Clerk#000000859|0|ickly after the furiou
6343|223|O|228576.18|1998-03-18|4-NOT SPECIFIED|Clerk#000000072|0|ccounts wake permanently. dependencies nag carefully across the quickly fina
6368|155|F|148668.63|1994-02-23|4-NOT SPECIFIED|Clerk#000000262|0| bold accounts. blithely even pinto beans hinder furiously slyly
6369|256|F|186193.38|1994-12-20|2-HIGH|Clerk#000000414|0|nto beans affix fluffily depe
6370|361|F|48117.61|1992-12-30|3-MEDIUM|Clerk#000000281|0|press asymptotes. express, ironic account
6371|253|F|164168.69|1993-04-02|3-MEDIUM|Clerk#000000237|0|sly ironic forges. carefully final accounts use. blithely even theodolites hag
6372|157|F|133420.54|1994-02-27|4-NOT SPECIFIED|Clerk#000000852|0|unusual pinto beans. slyly regular accounts nag across the regular deposits
6373|116|F|148236.46|1992-01-24|4-NOT SPECIFIED|Clerk#000000432|0|ts among the foxes cajole arou
6374|271|O|147432.16|1995-08-08|1-URGENT|Clerk#000000058|0|ickly. furiously final packages 
6375|67|O|241626.80|1997-11-13|4-NOT SPECIFIED|Clerk#000000466|0|beans integrate ironically. foxes poach quickly. depos
6400|247|F|93177.16|1994-01-24|3-MEDIUM|Clerk#000000166|0|nag slyly pending, express pains. fina
6401|382|O|137160.99|1997-04-23|5-LOW|Clerk#000000941|0|ly. accounts are. packages are about the regular theodolites. blit
6402|119|P|174073.89|1995-04-24|5-LOW|Clerk#000000978|0|slyly regular requests sleep blit
6403|85|F|90785.12|1995-02-12|5-LOW|Clerk#000000816|0|r theodolites. final
6404|97|O|61018.83|1996-07-07|2-HIGH|Clerk#000000095|0| to the furiously express theodolites cajole furiously fluf
6405|331|O|35196.53|1997-05-12|2-HIGH|Clerk#000000379|0|hely final deposits about the dol
6406|73|F|93406.40|1994-08-15|1-URGENT|Clerk#000000996|0|nal, unusual foxes ca
6407|254|O|87620.90|1995-07-25|2-HIGH|Clerk#000000873|0|packages. blithely regular platelets boost furiously slyly final plate
6432|91|O|156661.39|1995-11-11|1-URGENT|Clerk#000000116|0| slyly final deposits. carefully regular asympto
6433|230|O|247884.03|1995-11-23|3-MEDIUM|Clerk#000000494|0|ronic ideas cajole carefully express dolphins. carefully final ideas s
6434|293|F|162101.65|1994-06-08|2-HIGH|Clerk#000000643|0|lphins haggle quickly
6435|343|O|213759.46|1996-06-01|1-URGENT|Clerk#000000355|0|es breach carefully. ideas nag. slyly regular packages a
6436|314|F|11933.66|1992-03-02|5-LOW|Clerk#000000858|0|unusual theodolites. slyly final requests inte
6437|349|F|160158.52|1994-02-04|1-URGENT|Clerk#000000328|0|carefully above the 
6438|325|F|96502.24|1993-05-17|4-NOT SPECIFIED|Clerk#000000814|0|ckages wake carefully according to th
6439|298|O|199432.51|1995-07-03|3-MEDIUM|Clerk#000000611|0|theodolites along the carefully final deposits wake furiously 
6464|49|F|156805.59|1994-05-29|3-MEDIUM|Clerk#000000601|0| final theodolites after the silent accounts may hagg
6465|283|O|167617.53|1995-08-13|5-LOW|Clerk#000000713|0|s wake slyly carefully
6466|52|O|28437.94|1997-04-06|1-URGENT|Clerk#000000289|0|eep about the furiously special accounts
6467|226|O|48691.47|1998-03-02|4-NOT SPECIFIED|Clerk#000000510|0|osits. fluffily final packages boost by the 
6468|316|O|26648.29|1996-09-09|5-LOW|Clerk#000000215|0|e carefully regular courts. special packages integrate furiously across
6469|224|O|208953.94|1996-03-09|3-MEDIUM|Clerk#000000974|0|ckages use carefully careful
6470|19|O|270637.25|1995-09-11|5-LOW|Clerk#000000421|0|yly among the blithely careful dolphins. ironic account
6471|286|O|235923.38|1998-03-01|5-LOW|Clerk#000000775|0|egular platelets cajole quickly
6496|133|O|183131.56|1995-06-30|1-URGENT|Clerk#000000015|0| pending deposits cajole around 
6497|136|O|38403.05|1997-10-02|3-MEDIUM|Clerk#000000430|0|tions wake furiously fluffily enticing platele
6498|370|F|84991.89|1994-03-18|3-MEDIUM|Clerk#000000987|0|e. even accounts past 
6499|35|O|93939.42|1995-05-09|1-URGENT|Clerk#000000647|0|sly. accounts with the slyly final asymptotes are furiously regular pac
6500|232|F|88005.07|1992-10-13|1-URGENT|Clerk#000000203|0|ainst the quickly ironic dependencies. carefully i
6501|10|F|155044.96|1992-01-14|2-HIGH|Clerk#000000637|0|posits sleep furiously. furiously regu
6502|410|O|115691.24|1995-08-21|3-MEDIUM|Clerk#000000528|0| whithout the furio
6503|61|O|114058.47|1997-07-09|5-LOW|Clerk#000000528|0|e the express reques
6528|340|F|148687.48|1993-02-04|2-HIGH|Clerk#000000133|0|ven deposits. ironic, final 
6529|163|F|140273.40|1992-11-27|3-MEDIUM|Clerk#000000591|0|t. close accounts nag slyly according to
6530|19|O|6491.43|1997-08-05|1-URGENT|Clerk#000000912|0|the furiously sly depende
6531|178|F|156932.89|1993-07-18|2-HIGH|Clerk#000000947|0|ly special excuses sleep after the r
6532|2|O|105426.46|1996-02-18|1-URGENT|Clerk#000000046|0|al excuses wake special
6533|25|O|168398.35|1998-03-05|3-MEDIUM|Clerk#000000114|0|s kindle busily requests. ironic, pending depos
6534|292|O|26196.84|1997-04-20|1-URGENT|Clerk#000000668|0|ideas print slyly at t
6535|73|F|198216.20|1992-06-13|1-URGENT|Clerk#000000650|0|s. ironic, even theodolites haggle 
6560|361|F|270130.83|1995-01-05|5-LOW|Clerk#000000328|0|ven packages. deposits wake furiously enticingly regular theodolites; un
6561|421|F|195776.95|1994-05-19|2-HIGH|Clerk#000000813|0| have to are furiously furiously even deposits. carefu
6562|193|F|170169.66|1994-12-21|1-URGENT|Clerk#000000616|0|ely ironic, permanent deposits. blithely busy grouches wak
6563|317|F|101109.90|1992-11-06|5-LOW|Clerk#000000666|0|he fluffily final requests s
6564|170|F|127581.79|1995-01-22|5-LOW|Clerk#000000777|0|nic forges! quickly unusual packages haggle. blithely reg
6565|83|O|188900.90|1997-02-25|4-NOT SPECIFIED|Clerk#000000657|0|final dependencies. blithely express pinto 
6566|412|P|184365.75|1995-05-22|1-URGENT|Clerk#000000218|0|al notornis. blithely express pac
6567|388|O|44738.97|1997-07-22|2-HIGH|Clerk#000000402|0| deposits haggle. slyly fluffy dependencies sleep carefully packages.
6592|67|F|219517.13|1994-12-02|5-LOW|Clerk#000000213|0|he slyly final somas. slyly final accounts above 
6593|88|O|131347.34|1997-05-16|2-HIGH|Clerk#000000678|0|ular deposits cajole furiously. doggedly regular accounts c
6594|388|O|179594.74|1996-08-23|1-URGENT|Clerk#000000712|0|final deposits above the stealthily even packages 
6595|265|F|26182.05|1992-10-03|1-URGENT|Clerk#000000220|0|onic, even dependencies sleep 
6596|337|O|168564.56|1995-07-22|5-LOW|Clerk#000000106|0|rough the blithely even pinto beans. quickl
6597|358|O|90116.67|1998-06-27|5-LOW|Clerk#000000392|0| furiously about the slyly spec
6598|34|F|64519.58|1992-05-08|3-MEDIUM|Clerk#000000691|0|ts. quickly ironic p
6599|181|O|183857.29|1998-04-17|5-LOW|Clerk#000000365|0| x-ray fluffily according to the fu
6624|340|O|48026.64|1997-08-18|1-URGENT|Clerk#000000553|0|e fluffily according to the ideas
6625|404|F|12880.85|1993-08-16|2-HIGH|Clerk#000000228|0|rious theodolites against 
6626|173|F|86398.51|1994-05-07|1-URGENT|Clerk#000000213|0|ans. carefully even dolphins 
6627|290|P|78997.05|1995-03-26|5-LOW|Clerk#000000603|0| the instructions. blithely eve
6628|134|F|108861.79|1994-04-28|3-MEDIUM|Clerk#000000644|0|uests detect. blithel
6629|329|F|156660.40|1994-01-26|1-URGENT|Clerk#000000153|0|s deposits. blithely special Tiresias thrash 
6630|241|O|267201.62|1996-12-05|2-HIGH|Clerk#000000006|0|carefully even asymptotes. furiously bold platelets are along
6631|145|O|171485.29|1995-09-06|3-MEDIUM|Clerk#000000819|0|ithely. even frets around the regula
6656|227|F|202227.52|1994-05-16|1-URGENT|Clerk#000000497|0| multipliers grow furiously. blithely express courts integr
6657|139|F|38976.67|1992-01-03|4-NOT SPECIFIED|Clerk#000000820|0|ously among the blithely pending dependencies. blithely pending theo
6658|446|O|44133.14|1996-06-29|5-LOW|Clerk#000000453|0|uests sleep furiously regular pinto beans. carefully even foxes boost fur
6659|50|O|62442.04|1998-01-12|4-NOT SPECIFIED|Clerk#000000467|0|e. carefully unusual deposits use s
6660|443|O|114474.48|1998-05-06|5-LOW|Clerk#000000336|0|ckly regular packages. sometimes ironic platelets are at the care
6661|10|F|69074.27|1993-04-17|5-LOW|Clerk#000000669|0|e regularly ironic packages. pending, regular instructions haggle
6662|64|O|98226.04|1995-11-23|4-NOT SPECIFIED|Clerk#000000319|0|nts nag furiously fluffily 
6663|173|F|98541.29|1995-02-03|2-HIGH|Clerk#000000141|0|posits wake slyly slyly i
6688|356|O|131353.63|1997-02-24|1-URGENT|Clerk#000000987|0|ly after the fluffily regular accounts. blithely ironic deposits along the 
6689|227|O|53123.05|1997-06-02|1-URGENT|Clerk#000000571|0| ideas wake fluffily along the unusual, si
6690|52|O|159125.31|1996-06-26|2-HIGH|Clerk#000000648|0|eans sleep fluffily about the even requests. carefully unusual foxes eat
6691|431|F|205668.00|1994-06-10|5-LOW|Clerk#000000191|0|d grouches haggle fluffily around the furiou
6692|76|O|252904.25|1996-09-23|3-MEDIUM|Clerk#000000573|0|pendencies wake carefully final braids. ironic packages are en
6693|22|F|207706.77|1992-05-25|1-URGENT|Clerk#000000232|0|lithely unusual orbits. furiously pending pinto beans use quickl
6694|181|F|86332.13|1992-09-01|2-HIGH|Clerk#000000954|0|platelets haggle carefully. regular instructions snooze carefully after the e
6695|52|F|266101.37|1992-06-28|5-LOW|Clerk#000000877|0|oost slyly. express pinto beans along the carefully iron
6720|307|F|193970.08|1993-09-10|4-NOT SPECIFIED|Clerk#000000753|0| instructions affix. final ideas nag slyly furiously ironic accounts. depos
6721|298|O|131408.09|1996-11-29|4-NOT SPECIFIED|Clerk#000000272|0|ove the blithely final 
6722|155|O|261072.08|1996-06-26|2-HIGH|Clerk#000000323|0|lly express courts wake sl
6723|103|O|230996.71|1998-06-02|1-URGENT|Clerk#000000984|0|lyly carefully final deposits. slyly regular plate
6724|280|O|112662.52|1995-10-25|3-MEDIUM|Clerk#000000009|0|o beans. furiously bold asymptotes wake slyly alongside of the slyly final ex
6725|226|O|82761.56|1995-10-15|5-LOW|Clerk#000000149|0|lly furiously even ideas? slyly regular deposits above the furious
6726|329|F|196893.06|1993-11-29|4-NOT SPECIFIED|Clerk#000000246|0|iously pending accounts. slyly even packages eat. blithely ironic deposi
6727|289|F|197772.45|1994-08-30|5-LOW|Clerk#000000832|0|kly pending deposits affix fluffily along t
6752|376|O|41820.52|1996-10-18|3-MEDIUM|Clerk#000000927|0|sits. evenly special instructions are furiously alongside of the regu
6753|37|F|137524.40|1993-09-27|5-LOW|Clerk#000000184|0|lites detect fluffily regular deposits. ironic packages cajole after 
6754|379|O|108916.18|1995-08-12|2-HIGH|Clerk#000000648|0|usly ironic deposits sleep. regular, regular packages so
6755|332|O|25901.39|1995-05-02|2-HIGH|Clerk#000000454|0|ully above the asymptotes. even accounts haggle fluf
6756|343|F|204616.46|1993-08-25|4-NOT SPECIFIED|Clerk#000000710|0| busily pending theodolites sublate along the platelets. pains sno
6757|286|F|261221.29|1992-02-02|3-MEDIUM|Clerk#000000228|0|he carefully even gifts. blithely furious asymptotes 
6758|161|F|9890.47|1994-05-19|3-MEDIUM|Clerk#000000269|0|y ironic requests. carefully regular accounts are slyly. carefully unusual f
6759|448|O|96120.32|1996-06-30|3-MEDIUM|Clerk#000000488|0|. accounts sleep blith
6784|388|O|6970.48|1997-05-15|4-NOT SPECIFIED|Clerk#000000101|0|nusual accounts use
6785|286|F|97445.89|1992-05-07|3-MEDIUM|Clerk#000000144|0|final accounts. bold re
6786|271|O|222817.86|1997-08-13|4-NOT SPECIFIED|Clerk#000000602|0|he blithely even pinto
6787|35|O|60484.44|1995-06-03|1-URGENT|Clerk#000000497|0|ss deposits nag carefully pending requests. slyly regular deposits kindle furi
6788|166|O|118784.77|1995-08-05|4-NOT SPECIFIED|Clerk#000000992|0|platelets on the grouches cajole above the theodolites. carefully e
6789|310|O|157008.32|1998-04-23|2-HIGH|Clerk#000000552|0|haggle furiously. ironic pinto beans among the fluffily regular requests engag
6790|55|F|34798.30|1995-04-27|2-HIGH|Clerk#000000920|0|refully express theodolites
6791|47|F|119105.58|1995-02-02|3-MEDIUM|Clerk#000000780|0|slyly regular packages
6816|406|O|34870.27|1998-02-13|4-NOT SPECIFIED|Clerk#000000890|0|d, special frets. slyly regular deposits about the frets haggle s
6817|199|O|265784.60|1996-12-07|1-URGENT|Clerk#000000647|0|ld waters haggle. da
6818|286|O|149415.25|1996-02-27|1-URGENT|Clerk#000000543|0|riously furiously pending ideas. instructions maintain slyly un
6819|433|O|189981.36|1998-03-01|2-HIGH|Clerk#000000767|0| final deposits wake blithely to the quickly pending 
6820|256|O|90695.83|1995-07-06|5-LOW|Clerk#000001000|0|y unusual accounts: carefully ironic pinto beans cajole. ca
6821|377|O|91078.60|1997-10-02|2-HIGH|Clerk#000000256|0|lly accounts. fluffily enticing requests across the slyly pending p
6822|76|O|171187.72|1997-06-22|2-HIGH|Clerk#000000462|0|furiously accounts? express, ironic instr
6823|190|F|181420.26|1994-07-22|4-NOT SPECIFIED|Clerk#000000369|0|lly express pinto beans run carefully. bo
6848|220|F|176318.46|1993-09-14|2-HIGH|Clerk#000000602|0|lphins wake slyly about the special excus
6849|134|O|132757.11|1998-01-26|1-URGENT|Clerk#000000473|0|instructions boost; careful
6850|52|F|124193.32|1993-02-12|2-HIGH|Clerk#000000292|0|ding instructions sleep slyly. s
6851|121|O|73391.10|1997-06-30|1-URGENT|Clerk#000000654|0|are furiously regular waters. slyly final requests are carefully
6852|214|O|21680.80|1997-06-26|5-LOW|Clerk#000000604|0|ross the slyly specia
6853|37|O|45405.75|1997-02-17|3-MEDIUM|Clerk#000000203|0|he even instructions. slyly express accounts use pending
6854|251|F|247426.99|1994-01-07|3-MEDIUM|Clerk#000000312|0|ajole furiously during the carefully ironic deposits-- b
6855|32|O|75975.11|1995-08-28|2-HIGH|Clerk#000000302|0| slyly regular instructions thrash furiously
6880|8|F|146178.47|1994-05-26|3-MEDIUM|Clerk#000000849|0|ently quiet requests breach insid
6881|340|F|29676.90|1994-03-23|5-LOW|Clerk#000000327|0|ites cajole fluffily about the express th
6882|55|O|341921.00|1997-04-09|1-URGENT|Clerk#000000974|0|y dolphins. furiously ironic asymptotes s
6883|86|O|213622.05|1997-07-13|1-URGENT|Clerk#000000096|0|ackages; blithely regular p
6884|350|F|182834.77|1994-01-16|5-LOW|Clerk#000000138|0|he regular, special a
6885|277|F|129415.82|1992-06-20|5-LOW|Clerk#000000502|0|eans according to the furiously close foxes boost furiously unusua
6886|302|F|149617.95|1992-01-20|2-HIGH|Clerk#000000116|0|g, brave deposits wake alongside of the blithely brave courts: blithely blithe
6887|253|O|159269.04|1995-08-27|4-NOT SPECIFIED|Clerk#000000614|0|re carefully. daringly regular packages above the regular 
6912|230|O|18791.22|1995-12-11|4-NOT SPECIFIED|Clerk#000000291|0|equests. unusual, regular accou
6913|106|F|91970.83|1992-11-21|4-NOT SPECIFIED|Clerk#000000572|0|nst the deposits. even, silent theodolites sleep about the ironical
6914|211|F|49807.64|1993-12-10|3-MEDIUM|Clerk#000000135|0|lar theodolites across th
6915|289|O|51461.62|1996-02-06|4-NOT SPECIFIED|Clerk#000000879|0|ss the slyly unusual packages. ironic, pending pinto beans was slyly 
6916|260|F|88142.61|1993-06-05|5-LOW|Clerk#000000104|0|ding accounts. even requests play blithely according to the fi
6917|55|O|70040.21|1998-07-28|4-NOT SPECIFIED|Clerk#000000887|0|carefully express theodolites. regular, express accounts mai
6918|233|O|215505.91|1995-07-02|1-URGENT|Clerk#000000120|0|iously unusual packages wake carefully about the 
6919|160|O|165466.60|1998-05-01|1-URGENT|Clerk#000000350|0| deposits use furiously pending ins
6944|206|F|8423.50|1992-03-03|5-LOW|Clerk#000000504|0|st blithely carefully even sheaves. slyly even frets amon
6945|205|F|8965.26|1995-04-29|1-URGENT|Clerk#000000954|0|theodolites. carefully ruthless deposits breach blithely. slyl
6946|200|O|67556.39|1997-06-20|5-LOW|Clerk#000000539|0| ironic deposits. boldly regular requests affix q
6947|385|O|68065.56|1995-07-20|1-URGENT|Clerk#000000010|0|he ideas. deposits nag thinly. accounts against the
6948|334|F|254704.18|1993-12-10|4-NOT SPECIFIED|Clerk#000000191|0|s. furiously regular platelets abo
6949|223|F|118264.69|1992-04-29|4-NOT SPECIFIED|Clerk#000000274|0|osits lose in place of the pending, bold requests. carefully eve
6950|379|F|19483.55|1992-03-27|5-LOW|Clerk#000000389|0|wake slyly about the furiously regular requests. blithely even packages hagg
6951|133|O|8541.88|1996-08-24|4-NOT SPECIFIED|Clerk#000000570|0|lyly unusual accounts. exp
6976|283|F|128031.46|1993-10-13|4-NOT SPECIFIED|Clerk#000000677|0|fily above the even
6977|295|F|147194.57|1994-12-05|4-NOT SPECIFIED|Clerk#000000900|0|egular packages! bold foxes detect. slyly regular deposits nag quickly. 
6978|85|F|165964.38|1993-12-10|2-HIGH|Clerk#000000984|0|are quickly beneath the furiously even platelets.
6979|98|F|98822.24|1994-02-28|1-URGENT|Clerk#000000342|0| hang around the final, 
