O_ORDERKEY | O_CUSTKEY | O_ORDERSTATUS | O_TOTALPRICE | O_ORDERDATE | O_ORDERPRIORITY | O_CLERK | O_SHIPPRIORITY | O_COMMENT
453|133|O|262843.65|1997-05-26|5-LOW|Clerk#000000504|0|ss foxes. furiously regular ideas sleep according to t
454|148|O|28558.32|1995-12-27|5-LOW|Clerk#000000890|0|dolites sleep carefully blithely regular deposits. quickly regul
455|37|O|160758.43|1996-12-04|1-URGENT|Clerk#000000796|0| about the final platelets. dependen
480|215|F|22773.54|1993-05-08|5-LOW|Clerk#000000004|0|ealthy pinto beans. fluffily regular requests along the special sheaves wake 
481|92|F|143171.62|1992-10-08|2-HIGH|Clerk#000000230|0|ly final ideas. packages haggle fluffily
482|376|O|159399.92|1996-03-26|1-URGENT|Clerk#000000295|0|ts. deposits wake: final acco
483|106|O|45680.17|1995-07-11|2-HIGH|Clerk#000000025|0|cross the carefully final e
484|163|O|260357.43|1997-01-03|3-MEDIUM|Clerk#000000545|0|grouches use. furiously bold accounts maintain. bold, regular deposits
485|302|O|133667.13|1997-03-26|2-HIGH|Clerk#000000105|0| regular ideas nag thinly furiously s
486|154|O|213951.11|1996-03-11|4-NOT SPECIFIED|Clerk#000000803|0|riously dolphins. fluffily ironic requ
487|325|F|57469.15|1992-08-18|1-URGENT|Clerk#000000086|0|ithely unusual courts eat accordi
512|190|P|150543.23|1995-05-20|5-LOW|Clerk#000000814|0|ding requests. carefully express theodolites was quickly. furious
513|182|O|76822.53|1995-05-01|2-HIGH|Clerk#000000522|0|regular packages. pinto beans cajole carefully against the even
514|226|O|126162.30|1996-04-04|2-HIGH|Clerk#000000094|0| cajole furiously. slyly final excuses cajole. slyly special instructions 
515|427|F|192143.25|1993-08-29|4-NOT SPECIFIED|Clerk#000000700|0|eposits are furiously furiously silent pinto beans. pending pack
516|133|O|11255.62|1998-04-21|2-HIGH|Clerk#000000305|0|lar, unusual platelets are carefully. even courts sleep bold, final pinto bea
517|28|O|93831.37|1997-04-07|5-LOW|Clerk#000000359|0|slyly pending deposits cajole quickly packages. furiou
518|434|O|286981.63|1998-02-08|2-HIGH|Clerk#000000768|0| the carefully bold accounts. quickly regular excuses are
519|190|O|103927.89|1997-10-31|1-URGENT|Clerk#000000985|0|ains doze furiously against the f
544|281|F|60336.85|1993-02-17|2-HIGH|Clerk#000000145|0|the special, final accounts. dogged dolphins
545|190|O|30932.42|1995-11-07|2-HIGH|Clerk#000000537|0|as. blithely final hockey players about th
546|430|O|17330.37|1996-11-01|2-HIGH|Clerk#000000041|0|osits sleep. slyly special dolphins about the q
547|295|O|117631.42|1996-06-22|3-MEDIUM|Clerk#000000976|0|ing accounts eat. carefully regular packa
548|373|F|115384.86|1994-09-21|1-URGENT|Clerk#000000435|0|arefully express instru
549|331|F|169375.46|1992-07-13|1-URGENT|Clerk#000000196|0|ideas alongside of 
550|71|O|44669.79|1995-08-02|1-URGENT|Clerk#000000204|0|t requests. blithely 
551|269|O|58612.48|1995-05-30|1-URGENT|Clerk#000000179|0|xpress accounts boost quic
576|89|O|20884.27|1997-05-13|3-MEDIUM|Clerk#000000955|0|l requests affix regular requests. final account
577|166|F|37677.36|1994-12-19|5-LOW|Clerk#000000154|0| deposits engage stealthil
578|278|O|92406.26|1997-01-10|5-LOW|Clerk#000000281|0|e blithely even packages. slyly pending platelets bes
579|202|O|129768.74|1998-03-11|2-HIGH|Clerk#000000862|0| regular instructions. blithely even p
580|178|O|112077.38|1997-07-05|2-HIGH|Clerk#000000314|0|tegrate fluffily regular accou
581|208|O|147156.94|1997-02-23|4-NOT SPECIFIED|Clerk#000000239|0| requests. even requests use slyly. blithely ironic 
582|149|O|156983.98|1997-10-21|1-URGENT|Clerk#000000378|0|n pinto beans print a
583|142|O|161192.58|1997-03-19|3-MEDIUM|Clerk#000000792|0|efully express requests. a
608|79|O|83717.82|1996-02-28|3-MEDIUM|Clerk#000000995|0|nic waters wake slyly slyly expre
609|376|F|23951.10|1994-06-01|3-MEDIUM|Clerk#000000348|0|- ironic gifts believe furiously ca
610|152|O|221126.34|1995-08-02|1-URGENT|Clerk#000000610|0|totes. ironic, unusual packag
611|317|F|84064.19|1993-01-27|1-URGENT|Clerk#000000401|0|ounts detect furiously ac
612|245|F|178945.01|1992-10-21|3-MEDIUM|Clerk#000000759|0|boost quickly quickly final excuses. final foxes use bravely afte
613|415|O|40734.31|1995-06-18|2-HIGH|Clerk#000000172|0|ts hinder among the deposits. fluffily ironic depos
614|400|F|287328.68|1992-12-01|2-HIGH|Clerk#000000388|0| deposits! even, daring theodol
615|197|F|39737.07|1992-05-09|5-LOW|Clerk#000000388|0|t to promise asymptotes. packages haggle alongside of the fluffil
640|286|F|164861.57|1993-01-23|2-HIGH|Clerk#000000433|0|r, unusual accounts boost carefully final ideas. slyly silent theod
641|400|F|136991.88|1993-08-30|5-LOW|Clerk#000000175|0|ents cajole furiously about the quickly silent pac
642|121|F|25576.07|1993-12-16|3-MEDIUM|Clerk#000000357|0| among the requests wake slyly alongside of th
643|175|P|213187.17|1995-03-25|2-HIGH|Clerk#000000354|0|g dependencies. regular accounts 
644|23|F|238110.05|1992-05-01|1-URGENT|Clerk#000000550|0| blithely unusual platelets haggle ironic, special excuses. excuses unwi
645|343|F|278026.54|1994-12-03|2-HIGH|Clerk#000000090|0|quickly daring theodolites across the regu
646|152|F|168737.64|1994-11-22|2-HIGH|Clerk#000000203|0|carefully even foxes. fina
647|430|O|62989.99|1997-08-07|1-URGENT|Clerk#000000270|0|egular pearls. carefully express asymptotes are. even account
672|325|F|117271.53|1994-04-14|5-LOW|Clerk#000000106|0|egular requests are furiously according to 
673|238|F|24209.25|1994-03-10|1-URGENT|Clerk#000000448|0| special pinto beans use quickly furiously even depende
674|100|F|32392.36|1992-08-29|5-LOW|Clerk#000000448|0|ully special deposits. furiously final warhorses affix carefully. fluffily f
675|37|O|149422.87|1997-07-31|2-HIGH|Clerk#000000168|0|ffily between the careful
676|115|O|201009.53|1996-12-13|2-HIGH|Clerk#000000248|0|the final deposits. special, pending
677|373|F|176115.24|1993-11-24|3-MEDIUM|Clerk#000000824|0|uriously special pinto beans cajole carefully. fi
678|392|F|170558.58|1993-02-27|5-LOW|Clerk#000000530|0|. blithely final somas about the
679|146|O|12093.10|1995-12-15|2-HIGH|Clerk#000000853|0|tealthy, final pinto beans haggle slyly. pending platelets about the special, 
704|254|O|71500.05|1996-11-21|3-MEDIUM|Clerk#000000682|0|blithely pending platelets wake alongside of the final, iron
705|130|O|108816.03|1997-02-13|4-NOT SPECIFIED|Clerk#000000294|0|ithely regular dependencies. express, even packages sleep slyly pending t
706|443|O|32569.39|1995-09-09|1-URGENT|Clerk#000000448|0|g the packages. deposits caj
707|349|F|70856.35|1994-11-20|3-MEDIUM|Clerk#000000199|0| ideas about the silent, bold deposits nag dolphins
708|95|O|125661.40|1998-07-03|3-MEDIUM|Clerk#000000101|0|lphins cajole about t
709|109|O|90439.12|1998-04-21|1-URGENT|Clerk#000000461|0|ons alongside of the carefully bold pinto bea
710|394|F|269589.27|1993-01-02|5-LOW|Clerk#000000026|0| regular, regular requests boost. fluffily re
711|193|F|114205.79|1993-09-23|4-NOT SPECIFIED|Clerk#000000856|0|its. fluffily regular gifts are furi
736|140|O|162730.33|1998-06-21|5-LOW|Clerk#000000881|0|refully of the final pi
737|359|F|17356.73|1992-04-26|5-LOW|Clerk#000000233|0|ake blithely express, ironic theodolites. blithely special accounts wa
738|64|F|151829.99|1993-03-02|4-NOT SPECIFIED|Clerk#000000669|0|ly even foxes. furiously regular accounts cajole ca
739|1|O|180601.47|1998-05-31|5-LOW|Clerk#000000900|0| against the slyly ironic packages nag slyly ironic
740|131|O|99432.09|1995-07-16|3-MEDIUM|Clerk#000000583|0|courts haggle furiously across the final, regul
741|314|O|61247.21|1998-07-07|2-HIGH|Clerk#000000295|0|ic instructions. slyly express instructions solv
742|310|F|260479.30|1994-12-23|5-LOW|Clerk#000000543|0|equests? slyly ironic dolphins boost carefully above the blithely
743|235|O|31904.18|1996-10-04|4-NOT SPECIFIED|Clerk#000000933|0|eans. furiously ironic deposits sleep carefully carefully qui
768|292|O|254977.50|1996-08-20|3-MEDIUM|Clerk#000000411|0|jole slyly ironic packages. slyly even idea
769|241|F|57011.25|1993-06-02|3-MEDIUM|Clerk#000000172|0|ggle furiously. ironic packages haggle slyly. bold platelets affix s
770|97|O|80452.91|1998-05-23|5-LOW|Clerk#000000572|0|heodolites. furiously special pinto beans cajole pac
771|134|O|124427.13|1995-06-17|1-URGENT|Clerk#000000105|0|s. furiously final instructions across the deposit
772|290|F|147479.27|1993-04-17|2-HIGH|Clerk#000000430|0|s boost blithely fluffily idle ideas? fluffily even pin
773|397|F|167013.89|1993-09-26|3-MEDIUM|Clerk#000000307|0|tions are quickly accounts. accounts use bold, even pinto beans. gifts ag
774|239|O|189278.56|1995-12-04|1-URGENT|Clerk#000000883|0|tealthily even depths
775|400|F|72631.68|1995-03-18|1-URGENT|Clerk#000000191|0|kly express requests. fluffily silent accounts poach furiously
800|169|O|106401.75|1998-07-14|2-HIGH|Clerk#000000213|0|y alongside of the pending packages? final platelets nag fluffily carefu
801|355|F|145312.29|1992-02-18|1-URGENT|Clerk#000000186|0|iously from the furiously enticing reques
802|412|F|197840.63|1995-01-05|1-URGENT|Clerk#000000516|0|posits. ironic, pending requests cajole. even theodol
803|44|O|32493.51|1997-04-29|5-LOW|Clerk#000000260|0|ic instructions. even deposits haggle furiously at the deposits-- regular de
804|151|F|110627.23|1993-03-12|3-MEDIUM|Clerk#000000931|0|s. blithely final foxes are about the packag
805|379|O|107934.04|1995-07-05|4-NOT SPECIFIED|Clerk#000000856|0|y according to the fluffily 
806|394|O|34384.62|1996-06-20|2-HIGH|Clerk#000000240|0| the ironic packages wake carefully fina
807|431|F|277158.50|1993-11-24|3-MEDIUM|Clerk#000000012|0|refully special tithes. blithely regular accoun
832|88|F|80162.39|1992-04-19|5-LOW|Clerk#000000495|0|xes. bravely regular packages sleep up the furiously bold accou
833|166|F|60588.44|1994-02-13|3-MEDIUM|Clerk#000000437|0|ts haggle quickly across the slyl
834|130|F|56755.48|1994-05-23|3-MEDIUM|Clerk#000000805|0| sleep. quickly even foxes are boldly. slyly express requests use slyly
835|196|O|79556.07|1995-10-08|4-NOT SPECIFIED|Clerk#000000416|0|s about the carefully special foxes haggle quickly about the
836|208|O|91224.03|1996-11-25|4-NOT SPECIFIED|Clerk#000000729|0|ely bold excuses sleep regular ideas. furiously unusual ideas wake furiou
837|349|F|69408.07|1994-06-15|4-NOT SPECIFIED|Clerk#000000563|0|kages sleep slyly above the ironic, final orbits
838|50|O|95246.51|1998-01-29|5-LOW|Clerk#000000213|0| slyly around the slyly even
839|85|O|93315.08|1995-08-08|1-URGENT|Clerk#000000951|0|the carefully even platelets. furiously unusual fo
864|415|O|90205.46|1997-08-17|1-URGENT|Clerk#000000036|0|ly after the slyly regular deposits. express, regular asymptotes nag ca
865|8|F|90393.71|1993-05-04|3-MEDIUM|Clerk#000000337|0|. special packages wake after the carefully final accounts. express pinto be
866|115|F|6018.64|1992-11-28|3-MEDIUM|Clerk#000000718|0|ins after the even, even accounts nod blithel
867|76|F|9472.69|1993-11-16|3-MEDIUM|Clerk#000000877|0|pades nag quickly final, 
868|311|F|149935.33|1992-06-09|4-NOT SPECIFIED|Clerk#000000782|0|onic theodolites print carefully. blithely dogge
869|404|O|65481.46|1997-01-12|2-HIGH|Clerk#000000245|0|ar sheaves are slowly. slyly even attainments boost theodolites. furiously
870|97|F|45957.29|1993-06-20|4-NOT SPECIFIED|Clerk#000000123|0|blithely ironic ideas nod. sly, r
871|44|O|211460.45|1995-11-15|5-LOW|Clerk#000000882|0|oss the ironic theodolites.
896|5|F|212123.03|1993-03-09|1-URGENT|Clerk#000000187|0|inal packages eat blithely according to the warhorses. furiously quiet de
897|148|P|73550.81|1995-03-20|1-URGENT|Clerk#000000316|0| wake quickly against 
898|161|F|132643.83|1993-06-03|2-HIGH|Clerk#000000611|0|. unusual pinto beans haggle quickly across 
899|326|O|148296.42|1998-04-08|5-LOW|Clerk#000000575|0|rts engage carefully final theodolites.
900|139|F|152399.55|1994-10-01|4-NOT SPECIFIED|Clerk#000000060|0| fluffily express deposits nag furiousl
901|34|O|87190.68|1998-07-21|4-NOT SPECIFIED|Clerk#000000929|0|lyly even foxes are furious, silent requests. requests about the quickly 
902|26|F|48015.08|1994-07-27|4-NOT SPECIFIED|Clerk#000000811|0|yly final requests over the furiously regula
903|34|O|119067.25|1995-07-07|4-NOT SPECIFIED|Clerk#000000793|0|e slyly about the final pl
928|197|F|263117.01|1995-03-02|5-LOW|Clerk#000000450|0|ithely express pinto beans. 
929|248|F|138411.77|1992-10-02|2-HIGH|Clerk#000000160|0|its. furiously even foxes affix carefully finally silent accounts. express req
930|394|F|238706.39|1994-12-17|1-URGENT|Clerk#000000004|0| accounts nag slyly. ironic, ironic accounts wake blithel
931|310|F|140892.19|1992-12-07|1-URGENT|Clerk#000000881|0|ss packages haggle furiously express, regular deposits. even, e
932|121|O|43988.85|1997-05-16|2-HIGH|Clerk#000000218|0|ly express instructions boost furiously reg
933|287|F|79139.24|1992-08-05|4-NOT SPECIFIED|Clerk#000000752|0|ial courts wake permanently against the furiously regular ideas. unusual 
934|154|O|21207.78|1996-07-03|1-URGENT|Clerk#000000229|0|ts integrate carefully. sly, regular deposits af
935|148|O|112696.26|1997-09-24|5-LOW|Clerk#000000180|0|iously final deposits cajole. blithely even packages 
960|104|F|81617.36|1994-09-21|3-MEDIUM|Clerk#000000120|0|regular accounts. requests
961|166|P|186349.67|1995-06-04|4-NOT SPECIFIED|Clerk#000000720|0|ons nag furiously among the quickl
962|106|F|112352.33|1994-05-06|5-LOW|Clerk#000000463|0|ments nag deposits. fluffily ironic a
963|76|F|64903.53|1994-05-26|3-MEDIUM|Clerk#000000497|0|uses haggle carefully. slyly even dependencies after the packages ha
964|226|O|156796.48|1995-05-20|3-MEDIUM|Clerk#000000657|0|print blithely ironic, careful theodolit
965|206|P|46871.94|1995-05-15|5-LOW|Clerk#000000218|0|iously special packages. slyly pending requests are carefully 
966|40|O|139054.15|1998-04-30|2-HIGH|Clerk#000000239|0|special deposits. furious
967|331|F|213287.52|1992-06-21|3-MEDIUM|Clerk#000000167|0|excuses engage quickly bold dep
992|163|O|152143.58|1997-11-11|3-MEDIUM|Clerk#000000875|0|ts. regular pinto beans thrash carefully sl
