S_ID | S_POINT
215 | (5824183.26431155 7673817.735941041)
216 | (2317298.5812713113 -6747465.732112616)
217 | (1415618.4247697238 268016.98107252084)
218 | (5798428.015621055 -8927425.804611709)
219 | (-233657.3714535646 -6402225.357373714)
220 | (-1305367.4491426144 -7835998.507280089)
221 | (3148475.3775539678 7487503.0719906725)
222 | (-2130694.994373339 -6082304.061205201)
223 | (-1049667.6915057134 1164543.769240385)
224 | (9458258.720808797 -2111269.107396787)
225 | (-9747639.203871949 -86621.39509139024)
226 | (3034313.845515959 3486684.2710320633)
227 | (-1825434.3670093305 -6773858.010004519)
228 | (7411482.771046475 -9736097.050494608)
229 | (5218037.0718523525 -3264847.202718852)
230 | (1070303.3758791983 -7495709.215956927)
231 | (4911528.998018881 7501317.1233791)
232 | (5862756.541457405 9357451.458387326)
233 | (6514193.716241362 4436274.18494427)
234 | (3183042.0565559454 -8632803.326253187)
235 | (5410987.674561417 -5165487.942523597)
236 | (9944726.159542542 -1602355.315945197)
237 | (-3399476.2630030625 -8696761.997284757)
238 | (-8994550.945558667 5917433.678750634)
239 | (6477964.720787307 -9055746.901931245)
240 | (3037235.485933764 1141635.8221934624)
241 | (7200294.095335126 -6684934.784419596)
242 | (5766530.814657753 9910545.31014726)
243 | (901502.9691915028 -8194579.995069861)
244 | (7389513.4091420695 -8834329.052044325)
245 | (-937141.4142212514 598893.612190647)
246 | (5812837.801161857 -8645692.760058781)
247 | (-3346565.459193875 8673396.88825674)
248 | (8434036.174381394 -5948586.82819676)
249 | (1267118.4780400116 7096057.9117651135)
250 | (1881071.0610901676 871839.65875143)
251 | (-8751175.060522186 9965088.848581437)
252 | (-1875757.5829733675 -8917095.449782869)
253 | (9433108.969000086 -9548983.997213354)
254 | (766795.1445248835 -3913900.1459646085)
255 | (-438183.0850358717 -6773548.851788502)
256 | (6087971.426920937 8611698.21198539)
257 | (-4634914.436689901 -5559580.180239603)
258 | (6387556.072346736 7175455.386492878)
259 | (-3103439.4508697875 -8366522.914139527)
260 | (7519597.214056876 -6243731.310937418)
261 | (469233.706716327 -1298999.3945413511)
262 | (3768146.5867981445 -8934270.79560036)
263 | (-7100112.361259496 -2434839.1570067937)
264 | (-5799041.935902456 9364101.056095269)
265 | (8950943.632882956 -9218448.802204484)
266 | (-6669925.009981144 -5747379.219755477)
267 | (3099811.41667304 7216757.880099803)
268 | (-5470780.586100233 7165114.151862241)
269 | (-2717916.4624165343 2781369.462047929)
270 | (-5817119.323175544 -946404.8481269646)
271 | (1789789.163085468 -4770770.808935867)
272 | (-5026594.217552434 3476178.958767649)
273 | (9411337.865479544 -515789.327641502)
274 | (-1740650.9148004986 7923520.764243748)
275 | (9793940.253623571 -7930245.501555853)
276 | (6652056.1479107365 -1730765.0149069652)
277 | (-4040825.949622968 -5843211.660300421)
278 | (-521229.20747445896 286620.21571607515)
279 | (-2004298.7852594042 4283736.653593274)
280 | (-5994181.338620732 -5598783.291406344)
281 | (-2555279.835919042 7658440.410486981)
282 | (-2313245.869372545 -8951744.637162255)
283 | (2415201.419396164 -6744453.332484748)
284 | (-4341615.632486282 -8852386.138350215)
285 | (3446665.2015657015 8241469.043805089)
286 | (-1250554.7998020314 4838550.578187732)
287 | (-1745908.6242167102 -2497155.2972768433)
288 | (-3766219.9645095384 -8539898.167762296)
289 | (2172553.939364165 -6238824.585071033)
290 | (200927.12963570654 4983872.102252884)
291 | (6355065.282305462 -8505572.99844502)
292 | (4616625.207402566 -3907388.441389326)
293 | (-686222.3184078392 -9346592.346490866)
294 | (-3075413.853898625 3336970.9115213063)
295 | (-1400424.5219891556 -3191524.0377282593)
296 | (-4725245.554930906 -738163.1947780736)
297 | (1368930.4821348265 -5961634.299534564)
298 | (6441029.4909630045 6312114.238867957)
299 | (544669.0880928058 -6763499.87339586)
300 | (468108.74663473666 2812787.178230714)
301 | (5647284.861664748 2708480.399825262)
302 | (8036520.884900741 5343048.32455929)
303 | (9481314.318613462 -8520551.730523754)
304 | (942107.4082195163 -8184280.828013455)
305 | (-390143.47034166567 6016733.969477557)
306 | (866875.8708748687 3485858.6819178127)
307 | (9877680.929929908 -4737677.61520153)
308 | (-342041.6778120287 4701532.887709493)
309 | (-1843182.6207965799 -8920588.1803765)
310 | (9516587.697649885 -1212403.8571097162)
311 | (-304041.4689944498 1947071.6577078626)
312 | (8932948.11925136 -7630120.114909243)
313 | (-5510120.591195947 -1521904.2998490985)
314 | (-4340907.487752342 5096695.283158507)
315 | (1878006.1187324375 8847369.748369012)
316 | (2498554.8136255536 5690590.40289551)
317 | (-1829535.9730076408 239110.588211637)
318 | (-2268937.4625553936 9212238.870968021)
319 | (-4386498.329744135 1853968.2059952263)
320 | (-1529194.655238349 -6956314.54000232)
321 | (-442109.65886737965 -7673955.89545405)
322 | (9132998.472060595 -3609893.0814672215)
323 | (1250454.2294751033 8325505.299232777)
324 | (9206502.650302224 -1427978.3867186997)
325 | (7201373.248783208 6007450.932576966)
326 | (5053731.235435506 4079675.9773041084)
327 | (-1365166.2240671664 -9862380.677399578)
328 | (-3308479.465104812 -4606785.357261664)
329 | (9296311.736537557 6185275.051938469)
330 | (-5909447.84866198 3590187.869372638)
331 | (3534053.442509353 1584976.1885985043)
332 | (821976.6150961891 -2930148.555671079)
333 | (-6087459.599634815 6022058.209777668)
334 | (4124787.8512251973 -4338248.728413456)
335 | (876513.1035511419 -6059287.072199902)
336 | (2605740.091342028 4307691.168738058)
337 | (246131.36687680334 2311562.8576602917)
338 | (2572660.834566161 -7599119.8911214415)
339 | (3720553.0135339107 -1324980.1666411404)
340 | (3925487.4723480735 3261484.36210485)
341 | (4696401.945920724 630982.2973376028)
342 | (-4460347.04720419 -6789563.490637865)
343 | (-1516783.4820096586 -8765623.475398052)
344 | (-5338341.967761588 6168027.9512084015)
345 | (-2289453.2878529048 -8205168.367545441)
346 | (3992381.057813393 7640106.923132822)
347 | (-4710914.912080934 9693853.649025094)
348 | (-1539134.0908678956 7345751.819629323)
349 | (-5622653.847267558 6902579.804502822)
350 | (-365756.2993519623 6368899.264889367)
351 | (4585030.639265193 5348365.623041974)
352 | (4013063.3867563196 6987420.457558911)
353 | (7167671.995149318 -4720142.4322195165)
354 | (6439240.2106133085 -9616093.54336459)
355 | (-8591758.530271906 -3823370.52052042)
356 | (6047614.202267939 -3998955.516885587)
357 | (-1288703.8392566089 -6572905.054912271)
358 | (-4733753.684794599 512056.74535376765)
359 | (3544985.306663098 -2391911.48333102)
360 | (7712525.491279844 9982640.619003754)
361 | (-8408090.30288983 5605054.487626782)
362 | (2154741.965386713 1431209.9422516078)
363 | (-4864959.60716006 4689640.324622912)
364 | (7168428.610077996 -6160956.852091705)
365 | (-9466689.047373818 6017453.14393343)
366 | (5630932.572664481 6734410.481565025)
367 | (-9179277.742545566 2261986.043226231)
368 | (-5892051.146500668 -8527181.948146097)
369 | (-4326486.265148857 5772215.755918091)
370 | (5620960.564619252 -8237403.75337676)
371 | (6752075.103446275 -1336334.5693170857)
372 | (5802909.5238263495 -717275.8011938818)
373 | (4945569.744671339 -9067639.13604806)
374 | (-5379688.707034318 2430526.3711982556)
375 | (-7686836.993554849 4377492.438383721)
376 | (2154656.0260050613 312058.56200422905)
377 | (-6077442.317370329 3677646.5507502463)
378 | (-4909562.2795293825 6516518.4984098)
379 | (-953784.3494025934 1194528.349003652)
380 | (9198385.220514145 1024126.5563682877)
381 | (-8646385.880414536 9348159.742340337)
382 | (-7314547.189188696 8884379.667054337)
383 | (9694356.448748387 5603581.271432133)
384 | (1704913.796759501 4283583.965283666)
385 | (-7415259.676160719 4579572.512699112)
386 | (3468265.711699074 1582334.6053886786)
387 | (-5163914.183316583 1728733.7830997743)
388 | (2465032.5712825675 -5395995.004028415)
389 | (-9293063.591666864 -5460772.187233441)
390 | (-3573014.682465609 -3585857.266231398)
391 | (-8961292.350281067 9216343.114273861)
392 | (-1428034.9034736697 3270031.7630921733)
393 | (-7265464.138696063 -426878.5936932545)
394 | (1878294.7338404618 -3251496.3529961836)
395 | (-1884977.86675617 -6733415.202496296)
396 | (-8622541.102909949 1244730.57817908)
397 | (7813825.836434502 7343931.959888149)
398 | (4892449.846696878 -7373713.41270113)
399 | (5342134.450815542 4954419.111216964)
400 | (4006925.706918901 -3164057.0700107794)
401 | (385248.4546496272 -4854870.222675707)
402 | (6189956.920824571 -8317725.976734003)
403 | (7133001.8070964515 -9150894.675887631)
404 | (-9856631.350120254 3768101.5512496587)
405 | (442535.6944608763 -1340841.4104829095)
406 | (5251038.343428418 -166963.18695679307)
407 | (4352888.833964558 4051497.2745021507)
408 | (-9919211.784523001 7844064.541990228)
409 | (4533362.34056499 -523271.6432368681)
410 | (1878590.5808812045 8417411.83865416)
411 | (571094.4685932305 976140.7258909568)
412 | (7327684.553418703 6816271.169305559)
413 | (7022157.561832137 -652828.3583839796)
414 | (4569900.52025423 -5355398.7890923275)
415 | (1541355.0519286506 -9260765.0103802)
416 | (-1922645.6101991385 7159831.06150588)
417 | (-2686902.209647446 2707086.4483901374)
418 | (-6501848.108094944 -9869976.297219414)
419 | (3768927.607794849 -7916233.763352867)
420 | (-572777.5354546942 5838782.128652347)
421 | (6842307.9223482385 -1378023.4768487383)
422 | (85152.3706920147 -8213074.821594207)
423 | (-3446985.536431051 -6655626.578082865)
424 | (9309700.820610303 -2355151.7808822496)
425 | (-9334033.7710025 -7036801.329598969)
426 | (5701933.70229849 221275.9476923272)
427 | (-6137878.32584725 1869304.950484585)
428 | (-5554616.974429889 -168866.090976106)
429 | (4757896.790741116 1039474.3227202706)
430 | (-700263.6149448231 -6799039.2989882855)
431 | (874787.8323368449 -4832803.996730477)
432 | (-661933.8889302742 1576759.124375632)
433 | (1804074.965669129 5023715.995144244)
434 | (4123628.341781713 5728820.7540543955)
435 | (2120813.8022111487 -6097854.622147372)
436 | (455813.02034924366 275441.927515503)
437 | (735067.6677110996 4294994.564075183)
438 | (-8362367.483229303 -7459301.361080486)
439 | (4835076.101031594 446020.56455455907)
440 | (-1541289.3130084258 2558722.3369948417)
441 | (-1198307.0920504183 -3835029.3580673505)
442 | (2991619.043145815 5251637.3124768175)
443 | (7228260.668844096 5741273.751943)
444 | (3204886.186138451 2867015.7252543774)
445 | (8920177.735467568 8671053.774589568)
446 | (-7696140.705012795 -6083781.997748199)
447 | (-2699144.851123687 -8104620.9102192735)
448 | (9103988.219140008 -8365968.703890898)
449 | (-1800416.7960593738 4574677.038527623)
450 | (2794207.793014709 8969255.159073848)
451 | (-2642664.7718358124 -6018713.246179088)
452 | (-9123865.627212144 -3161638.7957152007)
453 | (8883832.699544322 6061745.358426422)
454 | (-8745629.62763542 5082743.842966337)
455 | (1197831.6307232399 4232672.619539406)
456 | (4541089.120543793 -3788233.448968921)
457 | (-866624.3145464119 8050887.795557313)
458 | (8728776.867266424 -2341346.808682154)
459 | (81042.58635413274 8024368.416800264)
460 | (7892534.486027159 1141010.9496126138)
461 | (2360467.213809654 382530.8498279881)
462 | (-561760.5596600138 -9418178.393681372)
463 | (6646080.585304381 -4696952.693852174)
464 | (631439.7322632931 3863152.38099481)
465 | (-6671116.938606823 9858668.192259852)
466 | (-3564326.77036943 -5407359.898822734)
467 | (-4588835.318097837 2488520.0486455727)
468 | (8409960.883589484 -3466357.65044742)
469 | (9880284.051130287 -3994468.5081850076)
470 | (-4080012.0574494246 -4800172.219275129)
471 | (913400.4320963416 5254596.892546408)
472 | (1071441.9542416912 8619285.45311452)
473 | (9366942.269037902 2418943.1087679733)
474 | (5172889.7929216735 6304212.851138571)
475 | (-801683.022725407 -9195735.648036567)
476 | (-268578.16683307104 -1504391.6489553694)
477 | (2479333.6257713735 2526423.9313672725)
478 | (1618179.3535754867 5670641.744577328)
479 | (-8117695.253355734 2686401.3637645263)
480 | (-6288305.02426365 9582321.65666762)
481 | (1099302.9038402755 7187753.980908528)
482 | (1441888.92714962 -7687685.697648896)
483 | (8850139.174322017 7467444.534504555)
484 | (-5579992.591708063 2945760.3987609)
485 | (874599.3842971139 4922471.522045551)
486 | (-2027808.3282988146 -5154329.086636642)
487 | (-4219250.080894397 -3665896.2578552635)
488 | (-1204596.0370459016 2654943.628740074)
489 | (-8972801.346570035 -1611208.7917516772)
490 | (7628783.53829046 -2162748.705404709)
491 | (-9679504.418970449 -3397768.6135839624)
492 | (-2593748.774928268 -6251031.762690427)
493 | (77429.51906463131 5330515.925714849)
494 | (180159.6182287056 -2115076.7360496055)
495 | (7647171.525810294 -540817.1324392017)
496 | (4566195.575315429 2390825.253144717)
497 | (9109633.501683831 -4491626.805430922)
498 | (9637325.545262579 8167511.737604458)
499 | (-7377534.44723374 -2688695.3110594107)
500 | (-929132.0792906936 -5659262.9663455505)
501 | (2560216.7945592143 7019600.086834341)
502 | (2467147.622125618 6681696.335983882)
503 | (728706.6137012597 9362560.819163736)
504 | (-9443008.057348257 -9564149.50949271)
505 | (3150083.9768411405 -2950433.1682344386)
506 | (5195419.559659926 -2100175.6478999443)
507 | (-7088439.602518946 8528017.723035753)
508 | (-9935401.270809652 9804076.896208424)
509 | (-8089823.134225929 1137066.1805406455)
510 | (-9809401.152222231 4985634.797851449)
511 | (8045952.771896776 6493231.5927234255)
512 | (-4265238.213791209 1216051.4642642178)
513 | (-6072898.302003343 -4368169.549541689)
514 | (-6792765.981037163 -8288555.438342873)
515 | (-3401673.596802961 -7603249.94445039)
516 | (170852.70343664847 6494655.138680194)
517 | (-8030435.5029880535 -1490812.7802294753)
518 | (2575503.89795975 -5980923.036105461)
519 | (1684653.3547653574 327627.91439045593)
520 | (-6753102.513883225 279799.7372354381)
521 | (-4783354.234977635 -6955415.403730627)
522 | (2408135.8856636956 2994357.7345027626)
523 | (424826.66478121467 9100155.26925103)
524 | (-2186798.1016172953 -4443879.275411012)
525 | (-5454965.913172616 -7556548.924369542)
526 | (5720537.181771357 -1816199.2368756179)
527 | (7053554.440496035 9808346.199451491)
528 | (278159.54509357177 -7807939.619159656)
529 | (5958510.06279489 -7803019.966882705)
530 | (-5149786.111615913 -4684682.088547368)
531 | (7697618.491851695 7684776.9501536)
532 | (-5238672.7183181755 5890707.1073629)
533 | (-9485165.096895771 2294209.198071189)
534 | (6550381.303814709 6265076.301725943)
535 | (-7172036.023805391 1672519.5872782916)
536 | (-4979856.29046926 -4408879.517417557)
537 | (879835.2472356167 -7097129.44552392)
538 | (1436456.3372024745 1996739.6184918322)
539 | (-3198922.1233454356 -8941694.250444965)
540 | (5219281.669085916 9478355.649042577)
541 | (-4583838.931570426 -5587162.195337385)
542 | (8282932.829811256 7145955.700838976)
543 | (7613225.065321825 1399439.381913254)
544 | (5991673.972298905 -3508302.6366070947)
545 | (8492140.174069077 6275866.75829231)
546 | (-4439542.5949666435 -7121907.246972237)
547 | (-660147.618464943 -8056583.0786650255)
548 | (-4089135.0045198146 6125995.853229765)
549 | (8010714.294244565 8901952.557899736)
550 | (-666545.4606171027 -1941892.879710434)
551 | (-6535293.061116097 -9251160.916767929)
552 | (-5585620.413350853 5053022.722098477)
553 | (-4945216.914538737 3429865.873513302)
554 | (-907031.3138189074 -7295784.062371809)
555 | (9535933.098889038 -5747601.479271691)
556 | (8580396.550478447 7016041.021901496)
557 | (-4709788.0131704835 1707444.3935634196)
558 | (550788.4986449666 -1186037.8553822357)
559 | (-4839520.367765669 9569717.783478107)
560 | (-8992746.558923623 156984.6250022594)
561 | (-3185204.525589331 -9668902.222770765)
562 | (-5216210.132543979 3183172.889485752)
563 | (4753805.141161783 3473881.263336301)
564 | (7053420.884980839 172710.54169572704)
565 | (906697.5187771358 8976471.042387184)
566 | (6247290.832896724 -1442395.7452339511)
567 | (-5969548.8839722 -8753156.770973923)
568 | (-3851703.28127582 1454481.024524795)
569 | (-7896734.672983674 -143441.27997184172)
570 | (-5078754.411411839 -5741433.8698252095)
571 | (2125512.210613534 -7187900.825238971)
572 | (4335153.975832406 -9175501.868950302)
573 | (-7719509.629350044 -4012783.085901974)
574 | (-5288944.837286467 -7121435.378475622)
575 | (8442725.215730887 5249232.193921516)
576 | (-6378608.746232504 -8953847.084338529)
577 | (9447329.445768896 2934043.9485389534)
578 | (7598714.904488876 -8681386.338894796)
579 | (6621943.827805987 205655.29883388802)
580 | (-5786308.62773319 -174301.4620943088)
581 | (7799164.752869688 190888.56534301862)
582 | (5281339.881327812 -3291303.734086482)
583 | (5866121.366367631 -6984463.447129354)
584 | (-577183.4289416373 -6986647.556882051)
585 | (-9850873.09335711 -9935587.396054192)
586 | (3925603.806618942 -6919122.071444787)
587 | (1938059.5651724674 4468902.005324744)
588 | (-6826850.224540797 4044321.447925547)
589 | (4272869.351685038 -9575764.04942628)
590 | (-1600950.801208511 9657395.165154781)
591 | (-6758072.515901361 -1731766.6798022427)
592 | (8674406.618201341 -5052893.914608634)
593 | (8578211.582323287 7902463.880075648)
594 | (-6111247.338340511 -8083083.764802728)
595 | (-7814273.031098426 -831464.872678088)
596 | (8601561.0065394 3803041.5590472724)
597 | (6410916.389582902 -3138878.829430867)
598 | (801253.5759521946 5396764.057696369)
599 | (1520644.0038445964 -1579852.4243975189)
600 | (-8344774.679541767 -8445062.144883286)
601 | (-2456518.047319387 363068.57233843766)
602 | (-4796909.288223415 4864891.15698543)
603 | (-7898400.489466039 7241959.88951505)
604 | (6267932.911797332 -906348.0675844792)
605 | (-6409430.150668904 -7378182.072990915)
606 | (5594957.19298793 -735586.3453847449)
607 | (4426818.334172908 4434202.776213128)
608 | (6403900.282803277 -2472110.9489980675)
609 | (-9972687.967485566 -9338747.291753761)
610 | (-2652459.2308691526 883220.3085164838)
611 | (-3985912.1334779244 1507468.7514379378)
612 | (8322917.820564352 8695404.577110715)
613 | (7488349.783265412 1732692.9710371327)
614 | (7203232.404203158 -2860744.2385476297)
615 | (-9239216.52690719 4858722.691548489)
616 | (-2876972.120920427 2681087.494898256)
617 | (3975338.940596614 5478258.593654726)
618 | (1270548.4549742937 9623744.051679995)
619 | (-4017774.2960923845 -2716921.732960928)
620 | (-4590987.300410716 -9513079.241894182)
621 | (-3508121.5938909873 6009022.92280226)
622 | (-8333559.776643582 962385.0276740603)
623 | (-4161559.506192358 935300.8536505364)
